generation,max_fitness
0,2
1,0.5
2,1
3,2
4,2.5
5,2.5
6,4.5
7,2
8,4
9,2
10,1.5
11,0.5
12,2
13,2
14,1.5
15,2
16,3.5
17,2.5
18,2
19,2.5
20,3.5
21,2
22,1.5
23,2
24,3
25,1.5
26,2
27,2
28,3
29,2
30,5
31,2.5
32,2
33,5.5
34,4
35,3.5
36,4
37,4
38,4
39,3
40,7
41,7
42,6.5
43,3
44,4.5
45,6
46,2.5
47,2.5
48,4
49,3
50,2.5
51,5
52,4
53,2.5
54,3
55,4
56,1
57,2.5
58,2.5
59,4.5
60,4
61,1.5
62,4
63,4
64,3.5
65,6
66,4
67,3.5
68,3
69,6
70,2.5
71,3.5
72,3.5
73,4
74,3.5
75,3
76,4.5
77,2
78,3
79,2
80,2.5
81,3.5
82,2.5
83,5.5
84,3
85,2.5
86,3
87,3.5
88,4.5
89,3.5
90,4
91,4.5
92,4
93,4
94,3.5
95,2.5
96,7.5
97,4.5
98,5
99,2.5
100,4
101,6
102,2.5
103,5.5
104,6.5
105,3.5
106,3.5
107,4
108,3.5
109,3.5
110,4.5
111,5
112,4.5
113,4
114,2.5
115,5.5
116,5.5
117,5
118,7
119,5.5
120,5
121,7
122,5.5
123,7
124,2.5
125,3.5
126,9
127,6.5
128,6
129,5.5
130,6
131,5.5
132,7
133,5.5
134,7
135,4.5
136,5
137,5
138,4.5
139,4.5
140,4
141,5
142,3.5
143,7.5
144,6.5
145,9
146,2
147,6
148,4.5
149,7
150,4.5
151,3
152,5
153,7
154,6.5
155,5
156,2
157,5
158,3
159,9
160,3.5
161,5.5
162,4.5
163,4
164,7
165,5
166,2
167,4.5
168,3
169,5.5
170,7.5
171,3
172,5.5
173,6.5
174,4.5
175,3.5
176,4.5
177,4.5
178,6
179,4
180,4
181,4.5
182,6.5
183,3.5
184,1.5
185,5.5
186,2.5
187,5
188,4.5
189,4.5
190,5
191,6
192,7
193,2
194,6
195,7.5
196,3.5
197,7
198,6.5
199,5
200,6.5
201,7.5
202,4
203,4.5
204,3.5
205,5.5
206,4.5
207,3.5
208,5
209,6
210,7
211,6.5
212,6
213,8
214,4.5
215,7
216,7
217,8.5
218,8
219,6
220,6.5
221,5
222,6.5
223,4
224,6.5
225,7
226,5.5
227,4.5
228,2.5
229,5.5
230,5.5
231,3.5
232,6
233,8
234,9
235,4.5
236,5.5
237,6
238,7
239,8
240,6
241,6
242,8
243,4.5
244,6
245,7.5
246,8.5
247,5.5
248,9.5
249,7.5
250,6
251,7.5
252,7.5
253,6
254,7.5
255,6
256,9.5
257,6
258,7.5
259,7
260,5.5
261,6
262,8.5
263,7
264,5
265,9
266,6.5
267,7
268,5
269,2
270,7.5
271,3.5
272,7
273,11
274,8
275,9
276,8
277,6
278,8
279,9
280,7
281,9
282,7.5
283,7.5
284,7.5
285,8.5
286,6
287,8
288,8
289,11
290,6
291,6.5
292,9
293,8
294,4.5
295,12.5
296,8.5
297,9
298,8.5
299,8
300,5
301,7.5
302,5.5
303,7
304,11
305,7.5
306,4.5
307,6
308,10
309,8
310,7
311,9
312,6.5
313,6
314,11
315,5.5
316,7
317,7.5
318,8.5
319,6
320,7.5
321,7.5
322,7.5
323,8
324,7
325,6
326,8
327,3.5
328,9
329,6.5
330,8.5
331,7
332,11
333,5.5
334,7
335,7.5
336,9
337,9
338,4
339,10
340,9.5
341,11
342,6.5
343,9
344,5
345,6.5
346,6.5
347,4.5
348,7.5
349,8
350,5.5
351,6.5
352,7.5
353,13
354,12
355,5.5
356,5.5
357,5.5
358,9.5
359,5.5
360,5.5
361,5
362,9
363,7
364,11.5
365,6
366,3
367,8.5
368,7.5
369,8.5
370,6
371,6
372,8.5
373,8
374,6.5
375,7
376,7
377,10.5
378,8.5
379,6
380,11
381,10.5
382,8.5
383,11
384,11
385,5
386,4.5
387,5.5
388,9.5
389,5.5
390,7
391,9.5
392,8.5
393,10.5
394,8.5
395,3
396,10.5
397,7.5
398,5.5
399,8.5
400,8.5
401,9.5
402,7.5
403,8.5
404,6.5
405,6
406,10.5
407,9
408,10
409,8.5
410,6.5
411,7.5
412,7.5
413,7.5
414,9.5
415,8
416,6.5
417,11.5
418,8
419,6
420,9
421,7.5
422,7
423,7
424,9
425,8
426,12
427,9.5
428,15
429,10
430,6
431,8
432,9.5
433,4.5
434,7.5
435,6
436,11
437,8.5
438,6.5
439,8
440,7.5
441,11
442,6.5
443,6
444,12
445,9.5
446,9.5
447,6.5
448,7
449,12.5
450,6
451,12.5
452,6
453,7.5
454,8.5
455,6.5
456,11.5
457,8
458,6.5
459,8.5
460,7
461,12.5
462,10
463,12
464,8.5
465,8.5
466,9.5
467,9
468,7
469,8
470,6
471,11.5
472,8
473,9.5
474,7
475,8
476,11.5
477,10.5
478,9
479,8
480,9
481,9
482,8.5
483,8.5
484,7.5
485,9.5
486,8
487,6
488,6.5
489,9.5
490,11
491,4
492,8
493,4.5
494,10.5
495,6.5
496,11
497,6.5
498,8
499,7.5
500,10.5
501,8.5
502,13
503,6.5
504,9
505,9
506,8.5
507,10
508,12.5
509,10
510,7.5
511,7
512,7
513,6.5
514,7
515,10
516,9.5
517,9.5
518,9.5
519,11
520,11
521,13
522,8
523,11
524,11.5
525,9
526,9
527,11
528,6.5
529,8
530,7
531,9.5
532,9.5
533,11
534,8.5
535,7
536,6
537,12.5
538,9.5
539,9.5
540,7
541,12
542,10
543,13
544,10
545,9.5
546,8
547,11.5
548,7
549,7
550,8.5
551,9
552,10.5
553,10.5
554,12.5
555,15
556,12
557,10
558,9.5
559,10
560,9.5
561,8
562,12.5
563,13.5
564,8
565,9
566,12
567,10
568,11.5
569,11
570,12.5
571,9.5
572,9
573,11
574,12.5
575,16.5
576,13
577,10
578,10.5
579,14
580,14
581,12
582,10.5
583,6.5
584,16
585,8.5
586,4
587,11
588,12
589,11
590,10
591,12.5
592,13
593,9
594,8
595,10
596,7.5
597,12.5
598,11
599,11
600,16
601,7.5
602,11.5
603,13
604,10
605,9.5
606,10
607,12
608,13
609,16
610,8
611,13.5
612,10.5
613,10
614,9.5
615,12
616,15
617,13
618,17.5
619,8.5
620,13
621,10.5
622,15
623,15
624,12.5
625,13.5
626,15.5
627,14
628,14.5
629,10
630,19.5
631,11.5
632,15.5
633,14
634,19
635,10
636,10.5
637,12.5
638,16.5
639,10
640,16
641,11.5
642,14.5
643,8.5
644,13
645,9.5
646,14
647,16.5
648,10
649,11
650,12
651,14.5
652,16.5
653,12.5
654,12
655,10.5
656,9
657,12
658,16.5
659,10
660,11.5
661,11.5
662,14
663,10.5
664,13.5
665,12
666,8
667,10
668,10
669,9
670,15.5
671,12
672,16
673,11.5
674,11.5
675,11
676,12
677,13.5
678,16
679,15.5
680,14.5
681,15
682,11
683,12
684,12.5
685,11
686,15
687,9
688,14
689,16.5
690,17
691,18
692,14.5
693,13
