generation,max_fitness
0,0
1,4
2,4
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,4
26,0
27,2
28,2
29,0
30,2
31,0
32,2
33,0
34,0
35,0
36,0
37,0
38,2
39,0
40,0
41,2
42,0
43,2
44,0
45,0
46,2
47,2
48,0
49,0
50,0
51,4
52,0
53,2
54,0
55,4
56,0
57,2
58,0
59,0
60,2
61,2
62,0
63,4
64,0
65,0
66,2
67,2
68,0
69,2
70,0
71,2
72,2
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,2
84,2
85,0
86,0
87,0
88,4
89,0
90,0
91,0
92,2
93,2
94,4
95,0
96,10
97,6
98,4
99,4
100,6
101,4
102,4
103,8
104,6
105,10
106,8
107,6
108,8
109,2
110,6
111,10
112,4
113,4
114,14
115,16
116,8
117,8
118,4
119,8
120,6
121,12
122,12
123,10
124,8
125,8
126,6
127,8
128,6
129,6
130,4
131,10
132,6
133,8
134,4
135,2
136,10
137,4
138,2
139,0
140,4
141,8
142,8
143,12
144,8
145,10
146,6
147,4
148,6
149,6
150,6
151,6
152,4
153,4
154,6
155,6
156,0
157,4
158,10
159,4
160,8
161,8
162,4
163,8
164,8
165,8
166,14
167,4
168,4
169,10
170,6
171,8
172,8
173,4
174,6
175,6
176,14
177,10
178,16
179,8
180,6
181,12
182,10
183,4
184,12
185,8
186,12
187,2
188,8
189,10
190,12
191,10
192,12
193,10
194,8
195,12
196,18
197,4
198,8
199,10
200,14
201,12
202,12
203,12
204,6
205,6
206,10
207,10
208,12
209,10
210,14
211,4
212,16
213,10
214,4
215,8
216,6
217,12
218,2
219,4
220,6
221,10
222,12
223,4
224,12
225,16
226,8
227,8
228,0
229,18
230,8
231,4
232,14
233,10
234,12
235,6
236,8
237,14
238,10
239,10
240,10
241,14
242,4
243,14
244,14
245,8
246,14
247,8
248,6
249,6
250,8
251,6
252,6
253,14
254,8
255,8
256,6
257,4
258,12
259,10
260,12
261,14
262,4
263,6
264,12
265,8
266,8
267,18
268,2
269,20
270,10
271,10
272,12
273,10
274,10
275,6
276,8
277,2
278,10
279,10
280,18
281,4
282,12
283,0
284,18
285,10
286,16
287,8
288,16
289,14
290,14
291,10
292,16
293,8
294,16
295,2
296,14
297,12
298,12
299,4
300,6
301,8
302,14
303,12
304,8
305,12
306,16
307,10
308,10
309,12
310,16
311,10
312,10
313,8
314,6
315,8
316,8
317,4
318,10
319,6
320,14
321,14
322,4
323,12
324,12
325,10
326,6
327,12
328,16
329,4
330,14
331,16
332,12
333,12
334,26
335,12
336,16
337,20
338,18
339,8
340,8
341,2
342,26
343,12
344,10
345,16
346,8
347,6
348,10
349,18
350,8
351,16
352,14
353,12
354,16
355,8
356,14
357,6
358,40
359,14
360,14
361,8
362,8
363,38
364,6
365,8
366,10
367,20
368,2
369,4
370,4
371,8
372,18
373,12
374,12
375,8
376,20
377,8
378,8
379,8
380,10
381,8
382,2
383,22
384,22
385,18
386,28
387,12
388,16
389,24
390,10
391,8
392,12
393,16
394,14
395,24
396,12
397,14
398,10
399,12
400,12
401,16
402,28
403,8
404,20
405,12
406,22
407,20
408,16
409,12
410,10
411,6
412,8
413,8
414,20
415,20
416,10
417,20
418,10
419,10
420,6
421,14
422,6
423,8
424,20
425,20
426,16
427,8
428,18
429,10
430,26
431,14
432,30
433,10
434,34
435,14
436,2
437,18
438,8
439,4
440,26
441,4
442,20
443,20
444,14
445,26
446,22
447,14
448,10
449,12
450,24
451,6
452,6
453,10
454,10
455,16
456,14
457,14
458,24
459,6
460,14
461,14
462,10
463,12
464,20
465,14
466,22
467,8
468,18
469,4
470,16
471,22
472,18
473,24
474,14
475,18
476,34
477,12
478,10
479,6
480,12
481,26
482,16
483,12
484,18
485,16
486,22
487,4
488,10
489,4
490,26
491,32
492,10
493,20
494,14
495,10
496,10
497,2
498,14
499,12
