generation,max_fitness
0,0
1,1
2,0
3,0.5
4,0.5
5,2
6,2
7,2.5
8,1.5
9,1.5
10,3
11,1
12,2
13,3.5
14,4
15,3.5
16,3.5
17,1.5
18,1.5
19,1
20,3.5
21,3
22,3
23,1
24,1.5
25,1
26,2
27,2.5
28,4
29,3
30,3
31,1
32,4.5
33,3.5
34,1.5
35,2.5
36,2.5
37,2.5
38,5
39,3.5
40,6
41,5.5
42,5.5
43,5.5
44,7
45,5
46,6
47,6.5
48,4.5
49,6.5
50,8.5
51,6
52,7
53,3
54,4.5
55,4.5
56,4.5
57,2
58,4.5
59,4.5
60,5.5
61,5.5
62,8
63,7.5
64,5.5
65,4
66,4.5
67,6.5
68,4.5
69,7.5
70,7.5
71,5
72,6.5
73,6.5
74,8.5
75,10
76,7.5
77,6
78,4
79,5
80,9
81,10.5
82,4.5
83,6.5
84,9.5
85,7
86,10.5
87,8.5
88,13
89,9
90,7
91,5
92,10
93,14
94,11
95,9
96,15.5
97,12.5
98,15.5
99,8
100,10.5
101,9
102,17
103,10.5
104,9
105,12.5
106,8.5
107,13
108,12.5
109,15
110,15
111,18.5
112,18.5
113,13.5
114,18.5
115,11
116,13.5
117,17.5
118,12.5
119,20
120,13.5
121,12.5
122,10
123,14.5
124,11.5
125,13.5
126,14
127,9.5
128,10
129,15
130,17
131,16.5
132,13
133,9.5
134,10
135,13
136,7
137,14.5
138,8
139,13.5
140,13
141,16
142,20
143,13.5
144,12
145,15.5
146,14
147,9
148,17.5
149,14
150,15.5
151,12.5
152,18
153,16
154,17
155,11
156,14.5
157,14.5
158,19
159,25
160,19.5
161,21.5
162,22.5
163,17
164,22
165,20
166,13
167,21.5
168,24
169,15
170,14.5
171,20
172,21.5
173,18.5
174,17.5
175,24
176,24.5
177,21
178,19
179,14
180,11.5
181,23
182,19
183,17.5
184,19.5
185,29.5
186,16
187,16
188,21
189,29
190,19.5
191,27
192,18
193,16
194,18.5
195,18
196,25
197,22.5
198,27.5
199,23.5
200,24.5
201,19.5
202,19
203,14
204,23
205,20
206,18
207,26.5
208,20.5
209,15.5
210,22
211,23.5
212,18
213,22
214,22.5
215,30
216,25
217,23.5
218,25.5
219,23
220,25
221,20
222,20.5
223,17
224,19
225,22.5
226,21.5
227,26.5
228,18.5
229,24
230,29.5
231,24.5
232,21.5
233,27
234,20
235,22
236,22.5
237,25
238,26.5
239,21
240,21
241,16
242,25
243,20.5
244,20.5
245,18
246,26.5
247,25.5
248,21.5
249,34.5
250,29.5
251,25.5
252,28.5
253,35
254,28.5
255,32
256,31
257,28
258,35
259,27.5
260,21.5
261,30
262,39
263,29.5
264,31.5
265,28
266,31.5
267,25
268,31
269,23
270,35.5
271,38.5
272,22
273,20
274,31.5
275,29
276,31
277,24
278,35.5
279,31
280,30.5
281,35.5
282,29.5
283,22
284,28.5
285,26.5
286,37.5
287,33
288,29
289,34
290,36.5
291,31
292,31.5
293,41
294,37
295,32.5
296,25.5
297,27.5
298,28
299,31
300,36
301,29
302,21.5
303,34.5
304,26
305,24
306,33
307,40.5
308,28
309,27
310,30
311,34
312,25
313,37
314,26
315,34.5
316,25.5
317,25.5
318,34
319,28
320,27.5
321,27.5
322,35.5
323,27.5
324,46
325,38
326,28
327,23.5
328,33
329,34.5
330,26
331,36
332,30.5
333,35.5
334,44
335,30
336,30
337,42
338,49.5
339,37.5
340,31.5
341,37.5
342,41
343,28.5
344,42
345,24.5
346,35
347,34.5
348,44
349,37.5
350,36
351,27
352,37
353,40
354,30
355,35
356,39
357,45
358,39
359,31.5
360,37.5
361,36
362,34.5
363,36.5
364,34.5
365,36.5
366,36
367,32.5
368,37.5
369,41
370,38.5
371,34
372,44.5
373,35
374,40.5
375,27
376,34.5
377,42.5
378,35
379,29
380,41
381,42
382,37.5
383,37
384,37.5
385,38.5
386,33
387,33
388,39.5
389,37
390,44
391,43.5
392,36.5
393,30
394,41.5
395,49.5
396,27
397,33.5
398,41
399,41.5
400,36.5
401,25
402,35.5
403,32
404,49
405,31.5
406,37
407,54.5
408,43
409,39.5
410,41.5
411,35
412,32.5
413,41
414,47
415,33
416,32
417,41.5
418,44.5
419,42
420,37
421,38.5
422,43.5
423,47.5
424,24
425,37.5
426,33
427,40
428,40.5
429,38
430,33.5
431,40.5
432,29
433,35
434,38
435,34
436,32.5
437,39.5
438,35.5
439,35.5
440,43.5
441,39.5
442,41
443,35.5
444,47.5
445,39
446,32
447,41.5
448,40.5
449,39
450,41.5
451,40
452,44.5
453,33
454,32.5
455,37
456,41
457,27.5
458,45.5
459,39
460,41
461,46
462,45.5
463,41
464,33.5
465,38.5
466,40.5
467,34
468,38
469,35
470,42
471,35.5
472,39.5
473,40
474,38.5
475,29.5
476,29.5
477,37.5
478,42.5
479,39
480,37.5
481,35
482,37
483,53
484,48.5
485,31
486,33
487,33
488,40.5
489,39
490,32.5
491,46.5
492,37.5
493,42.5
494,37
495,38.5
496,42.5
497,33.5
498,36.5
499,41
500,42
501,40.5
502,39.5
503,36.5
504,34.5
505,51
506,27.5
507,42
508,41
509,46.5
510,49.5
511,40
512,45
513,52
514,35.5
515,36
516,38.5
517,40
518,42.5
519,39.5
520,47
521,43.5
522,42.5
523,43.5
524,46.5
525,44
526,45
527,42.5
528,44.5
529,34.5
530,41
531,48
532,42
533,52.5
534,45.5
535,41
536,41.5
537,33.5
538,27.5
539,40
540,43.5
541,22
542,31.5
543,28.5
544,43.5
545,39.5
546,41
547,42.5
548,43
549,32
550,43
551,50.5
552,36.5
553,42
554,49
555,30.5
556,44.5
557,32.5
558,46
559,45
560,48.5
561,36
562,38
563,42
564,36.5
565,29
566,47.5
567,35
568,45.5
569,39.5
570,44.5
571,46
572,53
573,45
574,42
575,42.5
576,44.5
577,49.5
578,43
579,31
580,45.5
581,28
582,36.5
583,34
584,46
585,34.5
586,38.5
587,44.5
588,37
589,35.5
590,41
591,40
592,27.5
593,33.5
594,44.5
595,47
596,42.5
597,47
598,48.5
599,35
600,46
601,47
602,34.5
603,39
604,45
605,44.5
606,44
607,33
608,45.5
609,47.5
610,38.5
611,36.5
612,39.5
613,33.5
614,43
615,32
616,28
617,45.5
618,48.5
619,37
620,44.5
621,42.5
622,40.5
623,44.5
624,38
625,52
626,50.5
627,35.5
628,45
629,31.5
630,37
631,44.5
632,45
633,31.5
634,34
635,41
636,29
637,35.5
638,43
639,35.5
640,36
641,33.5
642,59.5
643,37.5
644,37.5
645,29
646,33
647,35.5
648,39.5
649,47.5
650,56.5
651,34
652,34.5
653,54
654,52.5
655,30
656,51.5
657,43
658,42.5
659,45
660,42.5
661,51
662,42
663,58
664,35.5
665,46.5
666,42.5
667,41.5
668,41
669,40.5
670,41
671,42
672,49.5
673,46
674,37.5
675,43
676,37.5
677,31
678,48.5
679,46.5
680,41.5
681,42
682,39.5
683,29
684,39
685,37
686,48.5
687,51
688,40.5
689,39.5
690,51.5
691,40.5
692,53
693,50.5
694,35.5
695,44.5
696,40
697,43.5
698,40.5
699,43.5
700,36.5
701,30.5
702,63
703,48.5
704,38
705,42.5
706,33.5
707,57.5
708,38
709,33
710,49
711,43
712,29.5
713,46.5
714,38
715,40
716,28
717,37
718,34
719,44
720,32.5
721,39
722,37.5
723,37
724,52
725,36.5
726,49
727,47.5
728,43.5
729,39.5
730,45
731,44
732,46.5
733,34.5
734,38
735,38
736,41
737,41.5
738,43.5
739,43.5
740,43.5
741,34.5
742,43
743,37
744,38.5
745,46.5
746,31
747,36.5
748,38
749,42
750,48
751,40
752,37
753,43.5
754,35
755,47
756,39
757,37
758,42.5
759,50
760,37.5
761,44
762,37.5
763,48.5
764,54
765,43.5
766,30.5
767,43
768,54
769,44.5
770,37.5
771,41.5
772,39
773,54
774,33
775,60.5
776,35
777,50
778,53
779,46.5
780,50
781,31
782,40.5
783,39.5
784,37
785,28.5
786,38.5
787,43.5
788,40
789,51
790,46
791,50.5
792,32.5
793,60
794,51.5
795,46
796,44.5
797,45.5
798,45
799,27
800,44
801,50
802,45
803,46.5
804,35.5
805,37
806,38
807,42
808,40.5
809,39.5
810,30
811,58.5
812,53
813,44
814,34
815,33
816,38
817,33
818,44
819,50
820,44
821,40.5
822,50
823,45
824,45.5
825,48
826,54
827,40
828,30.5
829,42
830,45
831,47
832,39
833,48.5
834,47
835,49
836,44
837,40
838,30.5
839,49
840,43.5
841,51.5
842,45.5
843,33
844,43
845,53
846,36.5
847,51.5
848,50.5
849,29
850,41.5
851,36.5
852,57
853,43.5
854,42.5
855,37.5
856,37.5
857,39
858,40.5
859,42
860,47
