generation,max_fitness
0,1
1,1
2,0
3,1
4,0
5,0
6,1
7,1
8,0.5
9,2
10,1
11,1.5
12,0
13,1
14,0.5
15,0.5
16,1
17,2
18,0.5
19,0.5
20,0
21,0.5
22,0.5
23,1
24,1
25,0
26,1.5
27,0
28,0.5
29,2.5
30,2.5
31,1
32,0
33,1
34,0.5
35,2
36,0.5
37,0
38,0
39,0.5
40,0
41,0.5
42,0
43,1.5
44,1.5
45,1.5
46,1
47,0
48,0.5
49,1
50,0.5
51,1
52,1.5
53,1.5
54,0.5
55,1.5
56,2.5
57,1.5
58,0.5
59,2
60,1
61,1
62,0.5
63,1.5
64,1.5
65,0.5
66,2
67,0.5
68,0.5
69,0
70,0.5
71,1
72,1.5
73,0
74,0.5
75,0
76,0
77,1
78,1.5
79,1
80,0.5
81,0.5
82,0.5
83,0
84,1
85,2
86,1
87,2.5
88,2
89,1
90,0.5
91,1
92,0.5
93,1
94,1
95,2
96,1
97,2.5
98,0.5
99,0.5
100,1.5
101,3
102,1
103,0
104,2
105,1
106,2.5
107,3
108,2
109,2
110,2
111,1
112,2.5
113,1
114,0.5
115,1.5
116,1
117,1.5
118,1
119,1
120,1
121,2
122,1.5
123,1.5
124,1.5
125,1.5
126,0.5
127,1
128,2.5
129,1.5
130,0
131,1.5
132,1
133,0.5
134,1
135,1.5
136,1
137,2
138,1.5
139,0.5
140,0.5
141,1.5
142,1
143,0
144,1
145,3
146,0.5
147,3
148,2.5
149,0.5
150,0.5
151,1
152,1
153,1
154,1
155,1
156,2
157,1
158,0
159,0.5
160,2
161,2
162,1
163,2.5
164,1.5
165,1.5
166,1
167,1.5
168,1
169,1.5
170,1
171,0.5
172,0.5
173,2
174,2
175,1.5
176,0.5
177,2.5
178,1
179,0
180,2
181,1
182,1
183,1
184,2.5
185,1.5
186,1
187,0.5
188,1
189,1
190,2
191,0
192,2
193,1
194,0.5
195,0
196,2
197,2.5
198,2
199,1
200,0.5
201,1
202,0
203,1
204,1
205,1
206,0
207,1.5
208,1
209,2.5
210,0
211,2
212,3
213,2
214,1.5
215,0.5
216,0
217,0
218,1
219,1
220,1
221,1.5
222,0
223,1.5
224,2
225,1
226,1.5
227,1
228,1
229,1
230,0.5
231,1.5
232,2
233,2
234,2.5
235,1
236,0.5
237,1.5
238,2
239,1
240,0
241,1
242,0.5
243,0
244,0.5
245,0.5
246,0.5
247,1
248,2.5
249,1.5
250,1
251,1
252,3
253,1
254,1.5
255,1
256,1.5
257,1.5
258,1
259,1.5
260,2
261,0.5
262,1
263,0.5
264,0.5
265,1
266,1
267,0
268,2
269,1
270,0.5
271,0
272,1.5
273,1.5
274,2
275,0
276,1
277,1
278,1.5
279,1
280,0
281,1.5
282,0
283,0.5
284,1.5
285,4
286,2.5
287,2
288,2
289,1.5
290,1.5
291,2.5
292,1
293,0.5
294,1
295,1
296,0
297,1
298,2
299,1.5
300,3
301,1.5
302,0.5
303,0.5
304,0.5
305,0.5
306,1.5
307,0.5
308,1
309,1
310,0
311,1.5
312,1.5
313,1
314,0
315,2
316,1
317,2
318,0
319,1
320,2
321,2
322,1.5
323,0.5
324,0.5
325,1.5
326,1
327,0.5
328,1
329,2
330,1.5
331,3.5
332,1
333,1
334,2
335,1.5
336,1
337,1.5
338,1.5
339,2
340,0
341,1.5
342,1
343,1
344,2.5
345,0.5
346,1.5
347,1.5
348,1
349,0
350,1.5
351,1.5
352,3
353,0
354,0.5
355,0.5
356,1
357,1
358,2.5
359,2.5
360,2.5
361,1
362,2.5
363,1.5
364,0.5
365,1
366,1.5
367,2.5
368,1.5
369,1
370,1
371,2.5
372,1.5
373,0.5
374,0
375,1.5
376,0.5
377,3
378,1
379,3.5
380,2
381,1.5
382,0
383,0.5
384,2
385,2
386,0.5
387,2.5
388,1
389,2.5
390,2
391,1
392,3
393,2.5
394,1
395,3.5
396,2
397,2
398,5
399,1.5
400,2
401,2
402,1.5
403,2.5
404,1
405,3
406,1.5
407,2
408,1
409,2.5
410,1.5
411,0
412,1
413,1.5
414,1.5
415,1
416,2.5
417,0.5
418,3
419,3
420,1
421,1.5
422,2
423,1
424,0.5
425,0.5
426,0.5
427,1.5
428,0
429,1.5
430,1
431,0.5
432,0.5
433,1
434,3.5
435,1.5
436,2
437,1.5
438,2
439,3
440,1
441,3.5
442,2
443,3.5
444,3
445,1
446,2.5
447,1.5
448,2
449,1.5
450,0.5
451,1.5
452,1.5
453,0.5
454,1.5
455,2
456,1.5
457,1.5
458,2.5
459,1.5
460,4
461,2.5
462,3
463,1.5
464,3
465,3.5
466,1
467,2
468,0
469,0.5
470,1.5
471,1
472,2.5
473,1.5
474,2
475,2.5
476,3
477,3
478,2.5
479,4
480,2
481,4
482,2
483,1.5
484,2
485,1.5
486,2
487,2
488,2
489,2.5
490,1.5
491,0.5
492,0
493,2.5
494,0.5
495,1
496,0
497,1
498,1.5
499,1.5
500,0.5
501,2.5
502,0
503,1.5
504,0.5
505,0.5
506,1.5
507,4
508,2
509,1
510,1
511,3
512,0.5
513,2
514,0
515,3
516,2
517,3
518,2
519,1.5
520,1.5
521,1.5
522,0.5
523,0.5
524,0
525,1
526,2
527,0
528,0.5
529,1.5
530,0
531,0.5
532,0.5
533,2.5
534,0.5
535,0
536,2
537,2
538,2.5
539,1.5
540,1.5
541,1
542,2
543,1.5
544,2.5
545,2.5
546,1.5
547,3
548,3
549,2.5
550,1.5
551,1
552,3.5
553,1
554,0.5
555,0.5
556,1.5
557,1
558,1.5
559,2
560,1.5
561,1
562,1
563,1
564,2.5
565,1.5
566,1.5
567,1
568,1
569,1.5
570,3
571,1
572,0
573,2
574,0.5
575,1
576,1
577,1.5
578,2.5
579,3
580,2.5
581,1
582,1.5
583,0.5
584,0.5
585,0.5
586,2
587,2
588,2.5
589,2
590,1
591,1.5
592,2
593,0.5
594,1.5
595,2
596,0.5
597,0.5
598,2.5
599,2
600,2
601,2
602,1
603,0
604,0.5
605,0
606,0.5
607,3
608,2
609,0.5
610,2
611,1
612,2
613,0.5
614,0
615,3
616,0.5
617,2
618,2
619,2.5
620,1
621,1.5
622,1.5
623,2
624,2
625,1.5
626,1
627,2
628,1
629,1
630,2
631,2
632,1.5
633,0.5
634,0.5
635,2
636,1
637,0.5
638,1.5
639,2
640,2
641,0.5
642,3
643,2
644,3
645,2.5
646,0
647,1
648,2.5
649,1
650,2
651,1
652,0.5
653,2
654,1
655,2.5
656,1.5
657,3
658,3
659,2
660,1
