generation,max_fitness
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0.5
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0.5
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0.5
49,0
50,0
51,0
52,0
53,0.5
54,0.5
55,0
56,0
57,0.5
58,0
59,0.5
60,0.5
61,1.5
62,0
63,0
64,0
65,0
66,0.5
67,0
68,0
69,0
70,0.5
71,0
72,0.5
73,0
74,0
75,0.5
76,0.5
77,0
78,0.5
79,0
80,0
81,0.5
82,0
83,0
84,1
85,0.5
86,0
87,0
88,1
89,0
90,0.5
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0.5
99,0
100,0.5
101,0.5
102,0.5
103,0
104,0
105,0
106,0
107,0
108,0.5
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0.5
118,0
119,0
120,0
121,1
122,0.5
123,0
124,0
125,0
126,0.5
127,0
128,0
129,0
130,0
131,0
132,0.5
133,0.5
134,0
135,1
136,0
137,0
138,0.5
139,0
140,0
141,0.5
142,0.5
143,0.5
144,1
145,0
146,0
147,0.5
148,0
149,0.5
150,1.5
151,0
152,0.5
153,0
154,0
155,1
156,0.5
157,0
158,0.5
159,0
160,0.5
161,0
162,0
163,1
164,0.5
165,1
166,0
167,0
168,1
169,0.5
170,0
171,0
172,1
173,1
174,0.5
175,0
176,0.5
177,1.5
178,0
179,0.5
180,0
181,1
182,0.5
183,0
184,0.5
185,1
186,1
187,1
188,1
189,0
190,0
191,0.5
192,0.5
193,1.5
194,1
195,0
196,0.5
197,0.5
198,1.5
199,1
200,0
201,0
202,1
203,1
204,1
205,0.5
206,0.5
207,1.5
208,0.5
209,1
210,1.5
211,0
212,0.5
213,0.5
214,0.5
215,1
216,0.5
217,0.5
218,0.5
219,3
220,0.5
221,0.5
222,1.5
223,0.5
224,0.5
225,1
226,0.5
227,0.5
228,0.5
229,0.5
230,1
231,3
232,1
233,0.5
234,0.5
235,0.5
236,0.5
237,1
238,1.5
239,0.5
240,1.5
241,1.5
242,0.5
243,1
244,0.5
245,1
246,1
247,0
248,2.5
249,0
250,1
251,1.5
252,1
253,1.5
254,1
255,0
256,0.5
257,1
258,1
259,2
260,1.5
261,1
262,0
263,1
264,1
265,0.5
266,0.5
267,0
268,1
269,0
270,2.5
271,0.5
272,2
273,0
274,0
275,1
276,2
277,0.5
278,0.5
279,1
280,1
281,2.5
282,1
283,1
284,1.5
285,1
286,0
287,0.5
288,1.5
289,1.5
290,1.5
291,0
292,0.5
293,1
294,1
295,0.5
296,0.5
297,1
298,0
299,0
300,1.5
301,2
302,1
303,1
304,1
305,1
306,0
307,0
308,1
309,0.5
310,2
311,0.5
312,0
313,0.5
314,1
315,1
316,0
317,0.5
318,0
319,0.5
320,1.5
321,2
322,1
323,1.5
324,2.5
325,2.5
326,2.5
327,3
328,1.5
329,0.5
330,0.5
331,1.5
332,3
333,0.5
334,0
335,0.5
336,2.5
337,2.5
338,0.5
339,1.5
340,0.5
341,1
342,4.5
343,0.5
344,0
345,1
346,0
347,2
348,2.5
349,1
350,2.5
351,2
352,0.5
353,0.5
354,0.5
355,2.5
356,1
357,2
358,1.5
359,1.5
360,1
361,0.5
362,2.5
363,1.5
364,0.5
365,1
366,2
367,2
368,0.5
369,0.5
370,2
371,3.5
372,2.5
373,2.5
374,2.5
375,0.5
376,1
377,0.5
378,0
379,0
380,2.5
381,2.5
382,3
383,0
384,1.5
385,1.5
386,0.5
387,4
388,0
389,2
390,1.5
391,5
392,1
393,1
394,1.5
395,1.5
396,1
397,0
398,1.5
399,1.5
400,1
401,2
402,1
403,0
404,1
405,2
406,2
407,0.5
408,2
409,4
410,2.5
411,1
412,3
413,3
414,1.5
415,3
416,2
417,1
418,0
419,0.5
420,0.5
421,0.5
422,2.5
423,2.5
424,0.5
425,1.5
426,2
427,1
428,0.5
429,0
430,1.5
431,2.5
432,1
433,0.5
434,2
435,4
436,7
437,2
438,0.5
439,1.5
440,1.5
441,3.5
442,1.5
443,3
