generation,max_fitness,median_fitness,min_fitness
0,1,0,0
1,4,1,0
2,7,1,0
3,8,1,0
4,8,1,0
5,7,2,0
6,7,3,0
7,7,4,0
8,7,4,0
9,7,4,0
10,7,4,0
11,7,4,0
12,9,4,0
13,8,4,0
14,8,4,0
15,10,4,0
16,7,4,0
17,9,4,0
18,9,4,0
19,9,4,0
20,8,4,0
21,9,4,0
22,8,4,0
23,9,6,0
24,10,4,0
25,10,4,0
26,10,4,0
27,9,4,0
28,10,4,0
29,8,4,0
30,9,4,0
31,10,5,0
32,8,4,0
33,10,4,0
34,9,4,0
35,10,4,0
36,9,4,0
37,10,5,0
38,9,4,0
39,9,5,0
40,9,4,0
41,9,5,0
42,10,4,0
43,9,4,0
44,9,4,0
45,9,4,0
46,9,4,0
47,9,4,0
48,9,4,0
49,9,4,0
50,9,4,0
51,10,4,0
52,9,4,0
53,9,4,0
54,9,5,0
55,11,6,0
56,9,4,0
57,9,4,0
58,9,4,0
59,9,4,0
60,9,4,0
61,9,4,0
62,9,5,0
63,9,6,0
64,9,4,0
65,9,4,0
66,10,4,0
67,9,4,0
68,9,4,0
69,9,4,0
70,9,4,0
71,9,5,0
72,9,4,0
73,10,5,0
74,9,4,0
75,9,4,0
76,9,4,0
77,9,4,0
78,10,4,0
79,9,4,0
80,9,4,0
81,9,4,0
82,9,4,0
83,8,5,0
84,9,5,0
85,9,5,0
86,9,4,0
87,9,4,0
88,9,4,0
89,11,5,0
90,9,4,0
91,9,4,0
92,9,4,0
93,9,5,0
94,9,4,0
95,10,4,0
96,9,4,0
97,9,4,0
98,9,4,0
99,9,5,0
100,9,4,0
101,9,5,0
102,9,4,0
103,9,5,0
104,9,5,0
105,9,5,0
106,9,5,0
107,9,5,0
108,9,4,0
109,9,6,0
110,9,4,0
111,9,5,0
112,9,5,0
113,9,5,0
114,10,5,0
115,9,6,0
116,9,5,0
117,9,7,0
118,9,7,0
119,9,5,0
120,9,6,0
121,10,7,0
122,9,5,0
123,10,7,0
124,10,6,0
125,9,6,0
126,10,5,0
127,10,6,0
128,9,5,0
129,9,7,0
130,9,6,0
131,10,7,0
132,9,5,0
133,9,6,0
134,10,5,0
135,9,6,0
136,9,6,0
137,10,6,0
138,9,5,0
139,9,7,0
140,9,5,0
141,9,7,0
142,9,7,0
143,9,7,0
144,9,5,0
145,9,7,0
146,9,6,0
147,9,7,0
148,9,6,0
149,9,6,0
150,9,6,0
151,9,7,0
152,9,7,0
153,10,7,0
154,10,6,0
155,9,6,0
156,9,7,0
157,10,5,0
158,9,6,0
159,10,5,0
160,10,5,0
161,10,5,0
162,9,7,0
163,9,5,0
164,10,7,0
165,10,5,0
166,9,5,0
167,9,5,0
168,9,6,0
169,9,7,0
170,10,7,0
171,10,6,0
172,9,6,0
173,9,6,0
174,10,5,0
175,9,6,0
176,9,6,0
177,9,7,0
178,9,6,0
179,9,7,0
180,9,6,0
181,9,7,0
182,9,5,0
183,10,7,0
184,10,5,0
185,10,7,0
186,10,6,0
187,10,5,0
188,10,6,0
189,10,7,0
190,9,6,0
191,10,6,0
192,9,5,0
193,10,7,0
194,10,6,0
195,10,7,0
196,10,7,0
197,10,6,0
198,9,7,0
199,9,7,0
200,10,7,0
201,10,7,0
202,9,6,0
203,9,7,0
204,10,7,0
205,10,7,0
206,10,5,0
207,10,7,0
208,10,5,0
209,10,7,0
210,10,6,0
211,10,7,0
212,10,7,0
213,9,6,0
214,10,5,0
215,9,7,0
216,10,7,0
