generation,max_fitness,median_fitness,min_fitness
0,1,0,0
1,4,0,0
2,3,1,0
3,4,1,0
4,4,1,0
5,4,0,0
6,6,1,0
7,6,0,0
8,6,1,0
9,6,1,0
10,7,1,0
11,6,1,0
12,9,2,0
13,8,2,0
14,8,1,0
15,9,2,0
16,8,1,0
17,8,1,0
18,9,2,0
19,10,1,0
20,13,2,0
21,12,2,0
22,13,1,0
23,11,1,0
24,12,1,0
25,15,1,0
26,14,2,0
27,12,2,0
28,16,1,0
29,16,4,0
30,18,3,0
31,15,1,0
32,17,3,0
33,18,4,0
34,13,1,0
35,17,3,0
36,16,3,0
37,18,3,0
38,17,1,0
39,16,5,0
40,16,3,0
41,19,5,0
42,18,5,0
43,18,4,0
44,17,5,0
45,18,6,0
46,18,5,0
47,20,6,0
48,18,3,0
49,19,6,0
50,17,3,0
51,18,4,0
52,18,5,0
53,19,5,0
54,19,2,0
55,19,4,0
56,19,5,0
57,19,7,0
58,20,5,0
59,19,6,0
60,17,6,0
61,22,7,0
62,19,5,0
63,21,6,0
64,19,3,0
65,19,5,0
66,26,5,0
67,23,5,0
68,22,3,0
69,22,5,0
70,18,4,0
71,21,4,0
72,22,5,0
73,20,5,0
74,26,6,0
75,21,5,0
76,23,4,0
77,24,5,0
78,22,4,0
79,23,4,0
80,25,4,0
81,25,5,0
82,27,6,0
83,25,7,0
84,24,5,0
85,25,6,0
86,24,7,0
87,26,8,0
88,23,8,0
89,29,12,0
90,34,11,0
91,34,10,0
92,26,6,0
93,27,13,0
94,26,9,0
95,28,10,0
96,31,15,0
97,32,12,0
98,31,4,0
99,34,14,0
100,35,8,0
101,32,16,0
102,33,13,0
103,33,17,0
104,35,15,0
105,35,17,0
106,33,7,0
107,37,10,0
108,38,5,0
109,37,13,0
110,38,2,0
111,38,15,0
112,37,3,0
113,36,8,0
114,34,11,0
115,36,5,0
116,34,8,0
117,37,15,0
118,36,1,0
119,33,7,0
120,33,10,0
121,38,13,0
122,38,11,0
123,36,11,0
124,37,8,0
125,40,20,0
126,37,18,0
127,37,17,0
128,36,17,0
129,39,16,0
130,38,15,0
131,39,10,0
132,38,16,0
133,33,14,0
134,38,14,0
135,40,19,0
136,39,15,0
137,37,18,0
138,34,15,0
139,40,18,0
140,38,17,0
141,37,19,0
142,37,16,0
143,39,22,0
144,39,15,0
145,39,23,0
146,35,8,0
147,40,14,0
148,36,10,0
149,39,11,0
150,36,9,0
151,37,16,0
152,38,13,0
153,42,21,0
154,39,10,0
155,40,15,0
156,43,14,0
157,43,19,0
158,43,8,0
159,39,16,0
160,37,17,0
161,43,19,0
162,40,11,0
163,37,10,0
164,37,7,0
165,39,17,0
166,40,18,0
167,43,19,0
168,43,17,0
169,40,21,0
170,39,9,0
171,38,12,0
172,42,27,0
173,43,24,0
174,38,17,0
175,41,15,0
176,39,22,0
177,42,26,0
178,43,27,0
179,39,25,0
180,39,21,0
181,39,12,0
182,39,20,0
183,43,23,0
184,39,16,0
185,45,23,0
186,39,21,0
187,41,24,0
188,39,17,0
189,42,19,0
190,41,16,0
191,43,20,0
192,42,26,0
193,42,28,0
194,38,15,0
195,39,21,0
196,39,10,0
197,41,23,0
198,39,16,0
199,39,19,0
200,39,17,0
201,43,22,0
202,40,8,0
203,41,20,0
204,39,14,0
205,38,11,0
206,43,20,0
207,37,15,0
208,39,14,0
209,38,22,0
210,41,11,0
211,39,20,0
212,40,18,0
213,40,24,0
214,40,14,0
215,42,26,0
216,43,27,0
217,44,23,0
218,43,21,0
219,44,28,0
220,42,26,0
221,43,21,0
222,43,20,0
223,44,25,0
224,43,23,0
225,43,27,0
226,42,16,0
227,42,15,0
228,47,12,0
229,41,22,0
230,44,22,0
231,46,28,0
232,44,17,0
233,45,27,0
234,43,24,0
235,43,24,0
236,48,25,0
237,43,27,0
238,43,25,0
239,40,19,0
240,42,25,0
241,43,24,0
242,42,31,0
243,45,23,0
244,43,10,0
245,44,23,0
246,48,14,0
247,48,25,0
248,46,12,0
249,45,23,0
250,47,14,0
251,43,25,0
252,45,25,0
253,46,23,0
254,45,22,0
255,43,23,0
256,46,27,0
257,49,19,0
258,46,26,0
259,47,31,0
260,48,27,0
261,44,19,0
262,44,11,0
263,45,21,0
264,43,10,0
265,49,20,0
266,45,21,0
267,46,24,0
268,51,10,0
269,43,23,0
270,46,29,0
271,46,24,0
272,43,10,0
273,45,23,0
274,45,20,0
275,43,22,0
276,49,21,0
277,45,21,0
278,44,23,0
279,42,18,0
280,49,10,0
281,47,22,0
282,46,24,0
283,50,27,0
284,51,26,0
285,46,27,0
286,51,19,0
287,52,25,0
288,50,33,0
289,46,28,0
290,52,27,0
291,46,18,0
292,50,26,0
293,51,35,0
294,51,32,0
295,49,28,0
296,48,30,0
297,52,30,0
298,50,39,0
299,50,39,0
300,53,34,0
301,51,36,0
302,51,24,0
303,48,33,0
304,55,26,0
305,53,36,0
306,51,23,0
307,52,33,0
308,57,28,0
309,57,33,0
310,59,33,0
311,52,38,0
312,57,33,0
313,51,23,0
314,56,31,0
315,54,32,0
316,54,24,0
317,52,29,0
318,54,29,0
319,51,17,0
320,54,28,0
321,55,36,0
322,56,35,0
323,54,38,0
324,56,30,0
325,57,38,0
326,53,36,0
327,56,39,0
328,55,38,0
329,60,43,0
330,57,40,0
331,56,39,0
332,55,42,0
333,64,43,0
334,55,39,0
335,58,43,0
336,56,42,0
337,56,43,0
338,53,32,0
339,55,45,0
