generation,max_fitness,median_fitness,min_fitness
0,4,1,0
1,7,2,0
2,8,3,0
3,11,4,0
4,11,5,0
5,12,6,0
6,14,6,0
7,14,8,0
8,14,8,0
9,14,7,0
10,14,8,0
11,14,8,0
12,14,8,0
13,14,7,0
14,14,8,0
15,14,8,0
16,14,8,0
17,14,8,0
18,15,8,0
19,15,8,0
20,15,8,0
21,15,8,0
22,15,7,0
23,15,8,0
24,15,8,0
25,15,8,0
26,15,7,0
27,15,8,0
28,15,8,0
29,15,7,0
30,15,7,0
31,15,8,0
32,15,7,0
33,15,7,0
34,15,8,0
35,15,8,0
36,15,8,0
37,15,8,0
38,15,7,0
39,15,7,0
40,15,8,0
41,15,8,0
42,15,7,0
43,15,7,0
44,15,8,0
45,15,7,0
46,15,7,0
47,15,8,0
48,15,7,0
49,15,8,0
50,15,8,0
51,15,8,0
52,15,7,0
53,15,7,0
54,15,8,0
55,15,8,0
56,15,8,0
57,15,8,0
58,15,8,0
59,15,8,0
60,15,8,0
61,15,8,0
62,15,8,0
63,15,8,0
64,15,8,0
65,15,8,0
66,15,8,1
67,15,8,0
68,15,8,0
69,15,8,0
70,15,8,0
71,15,7,0
72,15,8,0
73,15,7,0
74,15,8,0
75,15,8,0
76,15,8,0
77,15,8,0
78,15,8,0
79,15,8,0
80,15,8,0
81,15,8,0
82,15,8,0
83,15,7,0
84,15,7,0
85,15,8,0
86,15,7,0
87,15,8,0
88,15,7,0
89,15,8,0
90,15,8,0
91,15,8,0
92,15,8,0
93,15,8,0
94,15,8,0
95,15,8,0
96,16,8,0
97,16,7,0
98,16,8,0
99,16,7,0
100,16,8,0
101,16,7,0
102,16,7,0
103,16,7,0
104,16,8,0
105,16,7,0
106,16,7,0
107,16,7,0
108,16,8,0
109,16,8,0
110,16,7,0
111,16,8,0
112,16,7,0
113,16,7,0
114,16,7,0
115,16,8,0
116,16,8,0
117,16,7,0
118,16,7,0
119,16,8,0
120,16,8,0
121,16,7,0
122,16,7,0
123,16,8,0
124,16,8,0
125,16,8,0
126,16,7,0
127,16,8,0
128,16,7,0
129,16,7,0
130,16,8,1
131,16,7,0
132,16,8,0
133,16,7,0
134,16,8,0
135,16,7,0
136,16,8,0
137,16,8,0
138,16,7,0
139,16,8,0
140,16,7,0
141,16,7,0
142,16,8,0
143,16,7,0
144,16,7,0
145,16,8,0
146,16,7,0
147,16,8,0
148,16,7,0
149,16,8,0
150,16,8,0
151,16,7,0
152,16,7,0
153,16,7,0
154,16,7,0
155,16,7,0
156,16,7,0
157,16,7,0
158,16,8,0
159,16,7,0
160,16,7,0
161,16,7,0
162,16,7,0
163,16,7,0
164,16,7,0
165,16,7,0
166,16,7,0
167,16,7,0
168,16,7,0
169,16,7,0
170,16,7,0
171,16,7,0
172,16,8,0
173,16,7,0
174,16,8,0
175,16,7,0
176,16,7,0
177,16,7,0
178,16,7,0
179,16,7,0
180,16,7,0
181,16,7,0
182,16,7,0
183,16,7,0
184,16,8,0
185,16,7,0
186,16,7,0
187,16,8,0
188,16,8,0
189,16,7,0
190,16,7,0
191,16,7,0
192,16,7,0
193,16,7,0
194,16,7,0
195,16,7,0
196,16,7,0
197,16,7,0
198,16,7,0
199,16,7,0
200,16,7,0
201,16,7,0
202,16,6,0
203,16,7,0
204,16,7,0
205,16,7,0
206,16,7,0
207,16,7,0
208,16,7,0
209,16,7,0
210,16,7,0
211,16,7,0
212,16,7,0
213,16,7,0
214,16,7,0
215,16,7,0
216,16,7,0
217,16,7,0
218,16,7,0
219,16,7,0
220,16,7,0
221,16,7,0
222,16,7,0
223,16,7,0
224,16,7,0
225,16,7,0
226,16,7,0
227,16,7,0
228,16,7,0
229,16,7,0
230,16,7,0
231,16,7,0
232,16,7,0
233,16,7,0
234,16,7,0
235,16,7,0
236,16,7,0
237,16,7,0
238,16,7,0
239,16,7,0
240,16,7,0
241,16,7,0
242,16,7,0
243,16,7,0
244,16,7,0
245,16,7,0
246,16,7,0
247,16,7,0
248,16,7,0
249,16,7,0
250,16,7,0
251,16,7,0
252,16,7,0
253,16,6,0
254,16,7,0
255,16,7,0
256,16,7,0
257,16,7,0
258,16,7,0
259,16,7,0
260,16,7,0
261,16,7,0
262,16,7,0
263,16,7,0
264,16,7,0
265,16,6,0
266,16,7,0
267,16,7,0
268,16,7,0
269,16,7,0
270,16,7,0
271,16,7,0
272,16,7,0
273,16,7,0
274,16,7,0
275,16,7,0
276,16,7,0
277,16,7,0
278,16,7,0
279,16,7,0
280,16,7,0
281,16,7,0
282,16,7,0
283,16,8,0
284,16,7,0
285,16,7,0
286,16,7,0
287,16,7,0
288,16,7,0
289,16,7,0
290,16,7,0
291,16,7,0
292,16,7,0
293,16,7,0
294,16,7,0
295,16,8,0
296,16,8,0
297,16,8,0
298,16,7,0
299,16,7,0
300,16,7,0
301,16,7,0
302,16,7,0
303,16,8,0
304,16,7,0
305,16,8,0
306,16,8,0
307,16,7,0
308,16,7,0
309,16,7,0
310,16,8,0
311,16,7,0
312,16,8,0
313,16,8,0
314,16,7,0
315,16,7,0
316,16,7,0
317,16,7,0
318,16,7,0
319,16,7,0
320,16,7,0
321,16,7,0
322,16,8,0
