generation,max_fitness,median_fitness,min_fitness
0,4,1,0
1,8,1,0
2,9,1,0
3,9,1,0
4,12,1,0
5,12,1,0
6,12,2,0
7,12,1,0
8,12,1,0
9,12,1,0
10,12,1,0
11,12,1,0
12,12,2,0
13,12,1,0
14,12,1,0
15,12,1,0
16,12,2,0
17,12,2,0
18,12,2,0
19,12,1,0
20,12,1,0
21,12,1,0
22,12,2,0
23,12,1,0
24,12,1,0
25,12,1,0
26,12,1,0
27,12,1,0
28,12,1,0
29,12,1,0
30,12,1,0
31,12,1,0
32,12,1,0
33,12,1,0
34,12,1,0
35,12,2,0
36,12,1,0
37,12,1,0
38,12,2,0
39,12,1,0
40,12,1,0
41,12,1,0
42,14,1,0
43,14,2,0
44,14,1,0
45,14,1,0
46,14,1,0
47,14,1,0
48,14,2,0
49,14,2,0
50,14,1,0
51,14,1,0
52,14,1,0
53,14,2,0
54,14,2,0
55,14,1,0
56,14,1,0
57,14,1,0
58,14,1,0
59,14,2,0
60,14,2,0
61,14,2,0
62,14,2,0
63,14,1,0
64,14,2,0
65,14,1,0
66,14,2,0
67,14,2,0
68,14,2,0
69,14,2,0
70,14,1,0
71,14,1,0
72,14,2,0
73,14,1,0
74,14,1,0
75,14,1,0
76,14,2,0
77,14,1,0
78,14,2,0
79,14,1,0
80,14,1,0
81,14,1,0
82,14,1,0
83,14,2,0
84,14,1,0
85,14,2,0
86,14,1,0
87,14,1,0
88,14,1,0
89,14,1,0
90,14,1,0
91,14,2,0
92,14,1,0
93,14,1,0
94,14,1,0
95,14,1,0
96,14,1,0
97,14,1,0
98,14,1,0
99,14,1,0
100,14,1,0
101,14,1,0
102,14,2,0
103,14,1,0
104,14,2,0
105,14,1,0
106,14,2,0
107,14,1,0
108,14,1,0
109,14,1,0
110,14,1,0
111,14,2,0
112,14,2,0
113,14,1,0
114,14,1,0
115,14,1,0
116,14,1,0
117,14,1,0
118,14,1,0
119,14,1,0
120,15,1,0
121,15,1,0
122,15,1,0
123,15,2,0
124,15,1,0
125,15,2,0
126,15,1,0
127,15,2,0
128,15,1,0
129,15,2,0
130,15,1,0
131,15,1,0
132,15,2,0
133,15,2,0
134,15,1,0
135,15,1,0
136,15,1,0
137,15,2,0
138,15,1,0
139,15,1,0
140,15,2,0
141,15,2,0
142,15,2,0
143,15,2,0
144,15,1,0
145,15,2,0
146,15,1,0
147,15,1,0
148,15,2,0
149,15,2,0
150,15,1,0
151,15,2,0
152,15,1,0
153,15,1,0
154,15,2,0
155,15,2,0
156,15,1,0
157,15,2,0
158,15,2,0
159,15,1,0
160,15,1,0
161,15,2,0
162,15,1,0
163,15,1,0
164,15,1,0
165,15,2,0
166,15,2,0
167,15,2,0
168,15,1,0
169,15,2,0
170,15,2,0
171,15,1,0
172,15,2,0
173,15,1,0
174,15,1,0
175,15,2,0
176,15,2,0
177,15,1,0
178,15,1,0
179,15,1,0
180,15,2,0
181,15,1,0
182,15,1,0
183,15,2,0
184,15,2,0
185,15,1,0
186,15,1,0
187,15,1,0
188,15,1,0
189,15,1,0
190,15,1,0
191,15,1,0
192,15,1,0
193,15,1,0
194,15,2,0
195,15,1,0
196,15,1,0
197,15,1,0
198,15,1,0
199,15,1,0
200,15,1,0
201,15,1,0
202,15,1,0
203,15,2,0
204,15,1,0
205,15,1,0
206,15,2,0
207,15,1,0
208,15,2,0
209,15,1,0
210,15,1,0
211,15,2,0
212,15,1,0
213,15,1,0
214,15,1,0
215,15,1,0
216,15,1,0
217,15,1,0
218,15,1,0
219,15,2,0
220,15,2,0
221,15,1,0
222,15,1,0
223,15,1,0
224,15,1,0
225,15,2,0
226,15,2,0
227,15,1,0
228,17,2,0
229,17,1,0
230,17,2,0
231,17,1,0
232,17,1,0
233,17,1,0
234,17,1,0
235,17,1,0
236,17,2,0
237,17,2,0
238,17,1,0
239,17,2,0
240,17,2,0
241,17,1,0
242,17,1,0
243,17,1,0
244,17,1,0
245,17,1,0
246,17,1,0
247,17,1,0
248,17,1,0
249,17,1,0
250,17,2,0
251,17,1,0
252,17,1,0
253,17,2,0
254,17,1,0
255,17,1,0
256,17,1,0
257,17,1,0
258,17,2,0
259,17,1,0
260,17,1,0
261,17,2,0
262,17,1,0
263,17,1,0
264,17,2,0
265,17,2,0
266,17,1,0
267,17,2,0
268,17,2,0
269,17,1,0
270,17,1,0
271,17,1,0
272,17,2,0
273,17,1,0
274,17,1,0
275,17,1,0
276,17,2,0
277,17,1,0
