generation,max_fitness,median_fitness,min_fitness
0,4,4,4
1,6,1,0
2,6,1,0
3,6,1,0
4,6,1,0
5,6,1,0
6,6,1,0
7,6,1,0
8,7,1,0
9,7,1,0
10,7,1,0
11,7,1,0
12,7,1,0
13,7,1,0
14,8,1,0
15,8,1,0
16,8,1,0
17,8,1,0
18,8,1,0
19,8,1,0
20,8,1,0
21,8,1,0
22,8,1,0
23,8,1,0
24,8,1,0
25,8,1,0
26,8,1,0
27,8,1,0
28,8,1,0
29,8,1,0
30,8,1,0
31,8,1,0
32,8,1,0
33,8,1,0
34,8,1,0
35,8,1,0
36,8,1,0
37,8,1,0
38,8,1,0
39,8,1,0
40,8,1,0
41,8,1,0
42,8,1,0
43,8,1,0
44,8,1,0
45,8,1,0
46,8,1,0
47,8,1,0
48,8,1,0
49,8,1,0
50,8,1,0
51,8,1,0
52,8,1,0
53,8,1,0
54,8,1,0
55,8,1,0
56,8,1,0
57,8,1,0
58,8,1,0
59,8,1,0
60,8,1,0
61,8,1,0
62,8,1,0
63,8,1,0
64,8,1,0
65,8,1,0
66,8,1,0
67,8,1,0
68,8,1,0
69,8,1,0
70,8,1,0
71,8,1,0
72,8,1,0
73,8,1,0
74,8,1,0
75,8,1,0
76,8,1,0
77,8,1,0
78,8,1,0
79,8,1,0
80,8,1,0
81,8,1,0
82,8,1,0
83,8,1,0
84,8,1,0
85,8,1,0
86,8,1,0
87,8,1,0
88,8,1,0
89,8,1,0
90,8,1,0
91,8,1,0
92,8,1,0
93,8,1,0
94,8,1,0
95,8,1,0
96,8,1,0
97,8,1,0
98,8,1,0
99,8,1,0
100,8,1,0
101,8,1,0
102,8,1,0
103,10,1,0
104,10,1,0
105,10,1,0
106,11,1,0
107,11,1,0
108,11,1,0
109,11,1,0
110,11,1,0
111,11,1,0
112,11,1,0
113,11,1,0
114,11,1,0
115,11,1,0
116,11,1,0
117,11,1,0
118,11,1,0
119,11,1,0
120,11,1,0
121,11,1,0
122,11,1,0
123,11,1,0
124,11,1,0
125,11,1,0
126,11,1,0
127,11,1,0
128,11,1,0
129,11,1,0
130,11,1,0
131,11,1,0
132,11,1,0
133,11,1,0
134,11,1,0
135,11,1,0
136,11,1,0
137,11,1,0
138,11,1,0
139,11,1,0
140,11,1,0
141,11,1,0
142,11,1,0
143,11,1,0
144,11,1,0
145,11,1,0
146,11,1,0
147,11,1,0
148,11,1,0
149,11,1,0
150,11,1,0
151,11,1,0
152,11,1,0
153,11,1,0
154,11,1,0
155,11,1,0
156,11,1,0
157,11,1,0
158,11,1,0
159,11,1,0
160,11,1,0
161,11,1,0
162,11,1,0
163,11,1,0
164,11,1,0
165,11,1,0
166,11,1,0
167,11,1,0
168,11,1,0
169,11,1,0
170,11,1,0
171,11,1,0
172,11,1,0
173,11,1,0
174,11,1,0
175,11,1,0
176,11,1,0
177,11,1,0
178,11,1,0
179,11,1,0
180,11,1,0
181,11,1,0
182,11,1,0
183,11,1,0
184,11,1,0
185,11,1,0
186,11,1,0
187,11,1,0
188,11,1,0
189,11,1,0
190,11,1,0
191,11,1,0
192,11,1,0
193,11,1,0
194,11,1,0
195,11,1,0
196,11,1,0
197,11,1,0
198,11,1,0
199,11,1,0
200,11,1,0
201,11,1,0
202,11,1,0
203,11,1,0
204,11,1,0
205,11,1,0
206,11,1,0
207,11,1,0
208,11,1,0
209,11,1,0
210,11,1,0
211,11,1,0
212,11,1,0
213,11,1,0
214,11,1,0
215,11,1,0
216,11,1,0
217,11,1,0
218,11,1,0
219,11,1,0
220,11,1,0
221,11,1,0
222,11,1,0
223,11,1,0
224,11,1,0
225,11,1,0
226,11,1,0
227,11,1,0
228,11,1,0
229,11,1,0
230,11,1,0
231,11,1,0
232,11,1,0
233,11,1,0
234,11,1,0
235,11,1,0
236,13,1,0
237,13,1,0
238,13,1,0
239,13,1,0
240,13,1,0
241,13,1,0
242,13,1,0
243,13,1,0
244,13,1,0
245,13,1,0
246,13,1,0
247,13,1,0
248,13,1,0
249,13,1,0
250,13,1,0
251,13,1,0
252,13,1,0
253,13,1,0
254,13,1,0
255,13,1,0
256,13,1,0
257,13,1,0
258,13,1,0
259,13,1,0
260,13,1,0
261,13,1,0
262,13,1,0
263,13,1,0
264,13,1,0
265,13,1,0
266,13,1,0
267,13,1,0
268,13,1,0
269,13,1,0
270,13,1,0
271,13,1,0
272,13,1,0
273,13,1,0
274,13,1,0
275,13,1,0
276,13,1,0
277,13,1,0
278,13,1,0
279,13,1,0
280,13,1,0
281,13,1,0
282,13,1,0
283,13,1,0
284,13,1,0
