generation,max_fitness,median_fitness,min_fitness
0,4,1,0
1,6,1,0
2,7,1,0
3,8,2,0
4,10,2,0
5,10,2,0
6,10,2,0
7,10,2,0
8,10,1,0
9,10,1,0
10,10,2,0
11,10,2,0
12,13,2,0
13,13,1,0
14,13,2,0
15,13,1,0
16,13,2,0
17,13,2,0
18,13,1,0
19,13,2,0
20,13,1,0
21,13,2,0
22,13,2,0
23,13,2,0
24,13,2,0
25,13,2,0
26,13,2,0
27,13,2,0
28,13,2,0
29,14,1,0
30,14,1,0
31,14,2,0
32,14,2,0
33,14,1,0
34,14,1,0
35,14,1,0
36,14,1,0
37,14,1,0
38,14,1,0
39,14,1,0
40,14,1,0
41,14,2,0
42,14,1,0
43,14,1,0
44,14,1,0
45,14,2,0
46,14,2,0
47,14,1,0
48,14,1,0
49,14,1,0
50,14,2,0
51,14,1,0
52,14,1,0
53,14,1,0
54,14,1,0
55,14,2,0
56,14,1,0
57,14,1,0
58,14,2,0
59,14,1,0
60,14,1,0
61,14,2,0
62,14,1,0
63,14,2,0
64,14,1,0
65,14,2,0
66,14,2,0
67,14,1,0
68,14,1,0
69,14,2,0
70,14,1,0
71,14,1,0
72,14,1,0
73,14,2,0
74,14,1,0
75,14,1,0
76,14,1,0
77,14,2,0
78,14,2,0
79,14,1,0
80,14,2,0
81,14,1,0
82,14,1,0
83,14,1,0
84,14,1,0
85,14,1,0
86,14,1,0
87,14,1,0
88,14,1,0
89,14,2,0
90,14,1,0
91,14,2,0
92,14,2,0
93,14,2,0
94,14,1,0
95,14,1,0
96,14,1,0
97,14,2,0
98,14,2,0
99,14,1,0
100,14,1,0
101,14,1,0
102,14,2,0
103,14,2,0
104,14,1,0
105,14,1,0
106,14,1,0
107,14,2,0
108,14,1,0
109,14,1,0
110,14,1,0
111,14,2,0
112,14,1,0
113,14,1,0
114,14,1,0
115,14,2,0
116,14,1,0
117,14,1,0
118,14,2,0
119,14,1,0
120,14,1,0
121,14,1,0
122,14,1,0
123,14,1,0
124,14,2,0
125,14,2,0
126,14,1,0
127,14,1,0
128,14,1,0
129,14,1,0
130,14,1,0
131,14,1,0
132,14,1,0
133,14,2,0
134,14,1,0
135,14,2,0
136,14,1,0
137,14,2,0
138,14,1,0
139,14,1,0
140,14,1,0
141,14,1,0
142,14,1,0
143,14,1,0
144,14,1,0
145,14,1,0
146,14,1,0
147,14,2,0
148,14,1,0
149,14,1,0
150,14,1,0
151,14,1,0
152,14,1,0
153,14,1,0
154,14,1,0
155,14,1,0
156,14,1,0
157,14,1,0
158,14,2,0
159,14,1,0
160,14,1,0
161,14,2,0
162,14,2,0
163,14,2,0
164,14,1,0
165,14,1,0
166,14,1,0
167,14,1,0
168,14,2,0
169,14,2,0
170,14,2,0
171,14,1,0
172,14,1,0
173,14,2,0
174,14,1,0
175,14,1,0
176,14,2,0
177,14,1,0
178,14,1,0
179,14,2,0
180,14,2,0
181,14,1,0
182,14,1,0
183,14,1,0
184,14,1,0
185,14,1,0
186,14,2,0
187,14,1,0
188,14,1,0
189,14,1,0
190,14,1,0
191,14,2,0
192,14,1,0
193,14,1,0
194,14,1,0
195,14,2,0
196,14,1,0
197,14,1,0
198,14,2,0
199,14,1,0
200,14,2,0
201,14,2,0
202,14,1,0
203,14,1,0
204,14,1,0
205,14,1,0
206,14,1,0
207,14,1,0
208,14,1,0
209,14,1,0
210,14,1,0
211,14,2,0
212,14,1,0
213,14,1,0
214,14,1,0
215,14,1,0
216,14,2,0
217,14,1,0
218,14,2,0
219,14,1,0
220,14,2,0
221,14,1,0
222,14,2,0
223,14,1,0
224,14,1,0
225,14,1,0
226,14,1,0
227,14,1,0
228,14,1,0
229,14,1,0
230,14,1,0
231,14,1,0
232,14,1,0
233,14,1,0
234,14,2,0
235,14,2,0
236,14,1,0
237,14,1,0
238,14,1,0
239,14,2,0
240,14,2,0
241,14,1,0
242,14,1,0
243,14,1,0
244,14,1,0
245,14,1,0
246,14,2,0
247,14,1,0
248,14,1,0
249,14,2,0
250,14,1,0
251,14,1,0
252,14,1,0
253,14,2,0
254,14,1,0
255,14,1,0
256,14,1,0
257,14,1,0
258,14,2,0
259,14,1,0
260,14,1,0
261,14,1,0
262,14,1,0
263,14,1,0
264,14,1,0
265,14,1,0
266,14,1,0
267,14,2,0
268,14,1,0
269,14,1,0
270,14,1,0
271,14,1,0
272,14,2,0
273,14,1,0
274,14,2,0
275,14,1,0
276,14,2,0
277,14,1,0
278,14,1,0
279,14,1,0
280,14,1,0
281,14,1,0
282,14,1,0
283,14,1,0
284,14,2,0
285,14,1,0
286,14,2,0
287,14,1,0
288,14,1,0
289,14,2,0
290,14,1,0
291,14,1,0
292,14,1,0
293,14,1,0
294,14,1,0
295,14,2,0
296,14,1,0
297,14,2,0
298,14,1,0
299,14,1,0
300,14,1,0
301,14,2,0
302,14,1,0
303,14,1,0
304,14,2,0
305,14,1,0
306,14,1,0
307,14,2,0
308,14,1,0
309,14,1,0
310,14,1,0
311,14,2,0
312,14,2,0
313,14,2,0
314,14,1,0
315,14,1,0
316,14,2,0
317,14,2,0
318,14,1,0
319,14,2,0
320,14,1,0
321,14,2,0
322,14,1,0
323,14,1,0
324,14,2,0
325,14,1,0
326,14,1,0
327,14,1,0
328,14,1,0
329,14,2,0
330,14,1,0
331,14,1,0
332,14,2,0
333,14,1,0
334,14,1,0
335,14,1,0
336,14,1,0
337,14,1,0
338,14,1,0
339,14,1,0
340,14,1,0
341,15,2,0
342,15,2,0
343,15,1,0
344,15,1,0
345,15,2,0
346,15,1,0
347,15,2,0
348,15,2,0
349,15,2,0
350,15,1,0
351,15,1,0
352,15,1,0
353,15,1,0
354,15,1,0
355,15,1,0
356,15,2,0
357,15,1,0
358,15,1,0
359,15,1,0
360,15,2,0
361,15,1,0
362,15,1,0
363,15,1,0
364,15,1,0
365,15,1,0
366,15,1,0
367,15,2,0
368,15,2,0
369,15,1,0
370,15,1,0
371,15,1,0
372,15,1,0
373,15,2,0
374,15,1,0
375,15,1,0
376,15,1,0
377,15,2,0
378,15,1,0
379,15,1,0
380,15,2,0
381,15,2,0
382,15,1,0
383,15,1,0
384,15,1,0
385,15,2,0
386,15,2,0
387,15,2,0
388,15,1,0
389,15,2,0
390,15,2,0
391,15,1,0
392,15,2,0
393,15,1,0
394,15,1,0
395,15,1,0
396,15,2,0
397,15,1,0
398,15,1,0
399,15,1,0
400,15,2,0
401,15,2,0
402,15,1,0
403,15,2,0
404,15,1,0
405,15,1,0
406,15,1,0
407,15,1,0
408,15,1,0
409,15,1,0
410,15,2,0
411,15,2,0
412,15,1,0
413,15,2,0
414,15,1,0
415,15,2,0
416,15,1,0
417,15,2,0
418,15,1,0
419,15,2,0
420,15,2,0
421,15,1,0
422,15,1,0
423,15,2,0
424,15,1,0
425,15,1,0
426,15,1,0
427,15,2,0
428,15,2,0
429,15,2,0
430,15,1,0
431,15,1,0
432,15,1,0
433,15,1,0
434,15,1,0
435,15,1,0
436,15,2,0
437,15,1,0
438,15,1,0
439,15,1,0
440,15,2,0
441,15,2,0
442,15,1,0
443,15,2,0
444,15,2,0
445,15,2,0
446,15,1,0
447,15,1,0
448,15,1,0
449,15,2,0
450,15,1,0
451,15,1,0
452,15,1,0
453,15,1,0
454,15,1,0
455,15,1,0
456,15,2,0
457,15,2,0
458,15,1,0
459,15,1,0
460,15,1,0
461,15,1,0
462,15,1,0
463,15,1,0
464,15,2,0
465,15,1,0
466,15,2,0
467,15,1,0
468,15,2,0
469,15,1,0
470,15,2,0
471,15,2,0
472,15,2,0
473,15,1,0
474,15,1,0
475,15,1,0
476,15,2,0
477,15,2,0
478,15,2,0
479,15,2,0
480,15,2,0
481,15,2,0
482,15,2,0
483,15,1,0
484,15,1,0
485,15,2,0
486,15,2,0
487,15,2,0
488,15,2,0
489,15,2,0
490,15,1,0
491,15,1,0
492,15,2,0
493,15,1,0
494,15,2,0
495,15,1,0
496,15,2,0
497,15,1,0
498,15,2,0
499,15,1,0
500,15,2,0
501,15,2,0
502,15,2,0
503,15,1,0
504,15,2,0
505,15,2,0
506,15,2,0
507,15,1,0
508,15,2,0
509,15,2,0
510,15,2,0
511,15,1,0
512,15,2,0
513,15,2,0
514,15,2,0
515,15,2,0
516,15,2,0
517,15,1,0
518,15,1,0
519,15,2,0
520,15,2,0
521,15,2,0
522,15,1,0
523,15,1,0
524,15,1,0
525,15,1,0
526,15,1,0
527,15,2,0
528,15,1,0
529,15,1,0
530,15,2,0
531,15,1,0
532,15,1,0
533,15,2,0
534,15,1,0
535,15,2,0
536,15,2,0
537,15,1,0
538,15,2,0
539,15,1,0
540,15,2,0
541,15,2,0
542,15,2,0
543,15,2,0
544,15,1,0
545,15,2,0
546,15,1,0
547,15,2,0
548,15,2,0
549,15,1,0
550,15,2,0
551,15,1,0
552,15,2,0
553,15,2,0
554,15,2,0
555,15,2,0
556,15,1,0
557,15,1,0
558,15,2,0
559,15,2,0
560,15,2,0
561,15,2,0
562,15,2,0
563,15,1,0
564,15,2,0
565,15,1,0
566,15,2,0
567,15,1,0
568,15,2,0
569,15,1,0
570,15,1,0
571,15,2,0
572,15,1,0
573,15,1,0
574,15,1,0
575,15,2,0
576,15,2,0
577,15,1,0
578,15,1,0
579,15,2,0
580,15,2,0
581,15,2,0
582,15,1,0
583,15,2,0
584,15,2,0
585,15,1,0
586,15,2,0
587,15,2,0
588,15,2,0
589,15,1,0
590,15,2,0
591,15,2,0
592,15,2,0
593,15,2,0
594,15,1,0
595,15,2,0
596,15,2,0
597,15,1,0
598,15,1,0
599,15,2,0
600,15,1,0
601,15,1,0
602,15,2,0
603,15,2,0
604,15,1,0
605,15,2,0
606,15,1,0
607,15,2,0
608,15,2,0
609,15,1,0
610,15,2,0
611,15,1,0
612,15,2,0
613,15,1,0
614,15,2,0
615,15,2,0
616,15,2,0
617,15,2,0
618,15,2,0
619,15,2,0
620,15,2,0
621,15,1,0
622,15,2,0
623,15,2,0
624,15,1,0
625,15,2,0
626,15,2,0
627,15,2,0
628,15,2,0
629,15,2,0
630,15,2,0
631,15,2,0
632,15,2,0
633,15,2,0
634,15,2,0
635,15,2,0
636,15,2,0
637,15,2,0
638,15,1,0
639,15,1,0
640,15,2,0
641,15,1,0
642,15,2,0
643,15,2,0
644,15,2,0
645,15,2,0
646,15,2,0
647,15,2,0
648,15,2,0
649,15,1,0
650,15,2,0
651,15,2,0
652,15,2,0
653,15,2,0
654,15,2,0
655,15,2,0
656,15,2,0
657,15,2,0
658,15,2,0
659,15,2,0
660,15,2,0
661,15,1,0
662,15,2,0
663,15,1,0
664,15,2,0
665,15,2,0
666,15,2,0
667,15,1,0
668,15,2,0
669,15,1,0
670,15,1,0
671,15,1,0
672,15,2,0
673,15,1,0
674,15,1,0
675,15,2,0
676,15,1,0
677,15,2,0
678,15,2,0
679,15,2,0
680,15,2,0
681,15,1,0
682,15,1,0
683,15,2,0
684,15,2,0
685,15,1,0
686,15,2,0
687,15,2,0
688,15,2,0
689,15,2,0
690,15,2,0
691,15,1,0
692,15,1,0
693,15,2,0
694,15,2,0
695,15,1,0
696,15,2,0
697,15,2,0
698,15,1,0
699,15,1,0
700,15,1,0
701,15,2,0
702,15,2,0
703,15,1,0
704,15,2,0
705,15,1,0
706,15,2,0
707,15,2,0
708,15,2,0
709,15,1,0
710,15,1,0
711,15,2,0
712,15,2,0
713,15,2,0
714,15,2,0
715,15,2,0
716,15,2,0
717,15,2,0
718,15,2,0
719,15,2,0
720,15,1,0
721,15,1,0
722,15,2,0
723,15,1,0
724,15,2,0
725,15,2,0
726,15,2,0
727,15,2,0
728,15,2,0
729,15,2,0
730,15,1,0
731,15,1,0
732,15,1,0
733,15,2,0
734,15,1,0
735,15,2,0
736,15,2,0
737,15,2,0
738,15,2,0
739,15,2,0
740,15,2,0
741,15,2,0
742,15,2,0
743,15,2,0
744,15,1,0
745,15,1,0
746,15,2,0
747,15,2,0
748,15,2,0
749,15,2,0
750,15,2,0
751,15,1,0
752,15,2,0
753,15,2,0
754,15,2,0
755,15,1,0
756,15,2,0
757,15,1,0
758,15,2,0
759,15,2,0
760,15,2,0
761,15,2,0
