generation,max_fitness,median_fitness,min_fitness
0,3,0,0
1,7,1,0
2,8,1,0
3,8,1,0
4,11,1,0
5,7,1,0
6,5,1,0
7,7,0,0
8,8,1,0
9,8,1,0
10,7,1,0
11,9,1,0
12,8,1,0
13,8,1,0
14,8,1,0
15,8,1,0
16,10,2,0
17,10,2,0
18,13,2,0
19,14,2,0
20,15,3,0
21,12,2,0
22,12,2,0
23,15,3,0
24,20,3,0
25,12,4,0
26,16,2,0
27,15,4,0
28,15,5,0
29,14,5,0
30,17,5,0
31,18,4,0
32,20,4,0
33,21,3,0
34,16,4,0
35,19,6,0
36,16,3,0
37,18,2,0
38,19,3,0
39,15,2,0
40,22,2,0
41,18,4,0
42,13,4,0
43,14,3,0
44,19,7,0
45,18,6,0
46,18,5,0
47,21,7,0
48,20,5,0
49,17,4,0
50,20,5,0
51,20,6,0
52,22,6,0
53,22,8,0
54,25,11,0
55,25,3,0
56,24,9,0
57,22,9,0
58,26,9,0
59,26,7,0
60,25,10,0
61,25,8,0
62,26,12,0
63,26,11,0
64,25,13,0
65,26,6,0
66,26,11,0
67,29,12,0
68,26,13,0
69,27,12,0
70,27,13,0
71,29,9,0
72,25,3,0
73,26,6,0
74,24,6,0
75,28,6,0
76,29,10,0
77,28,7,0
78,29,8,0
79,29,6,0
80,27,4,0
81,25,6,0
82,23,6,0
83,23,6,0
84,23,5,0
85,23,4,0
86,25,5,0
87,27,10,0
88,24,4,0
89,27,5,0
90,26,6,0
91,26,6,0
92,25,6,0
93,26,7,0
94,26,6,1
95,28,7,0
96,29,6,0
97,29,7,0
98,27,7,0
99,29,7,0
100,27,4,0
101,27,4,0
102,27,4,0
103,31,6,0
104,28,5,0
105,34,6,0
106,31,6,0
107,28,6,0
108,27,8,0
109,31,8,0
110,28,9,0
111,28,10,0
112,27,12,0
113,29,12,0
114,29,12,0
115,32,12,0
116,30,12,0
117,30,12,0
118,33,12,0
119,28,7,0
120,32,9,0
121,33,7,0
122,26,14,0
123,33,15,0
124,28,16,0
125,30,8,0
126,33,17,0
127,28,12,0
128,31,14,0
129,30,11,0
130,31,19,0
131,30,16,0
132,31,19,0
133,31,17,0
134,34,17,0
135,36,16,0
136,36,18,0
137,36,18,0
138,36,19,0
139,38,22,0
140,37,21,0
141,35,17,0
142,35,14,0
143,31,19,0
144,33,19,0
145,37,17,0
146,34,20,0
147,36,19,0
148,37,19,0
149,37,19,0
150,37,19,0
151,37,19,0
152,34,20,0
153,36,20,0
154,40,19,0
155,36,17,0
156,40,19,0
157,36,19,0
158,42,18,0
159,34,20,0
160,35,19,0
161,36,18,0
162,40,18,0
163,39,19,0
164,38,17,0
165,37,18,0
166,37,18,0
167,39,17,0
168,40,19,0
169,37,19,0
170,37,15,0
171,36,18,0
172,38,19,0
173,39,20,0
174,34,17,0
175,31,17,0
176,37,17,0
177,37,22,0
178,40,16,0
179,35,19,0
180,36,17,0
181,34,17,0
182,38,17,0
183,39,15,0
184,37,18,0
185,39,19,0
186,35,17,0
187,40,20,0
188,37,20,0
189,37,20,0
190,38,21,0
191,37,17,0
192,40,19,0
193,44,21,0
194,38,18,0
195,42,21,0
196,40,26,0
197,41,16,0
198,35,21,0
199,40,22,0
200,34,18,0
201,43,22,0
202,41,23,0
203,39,20,0
204,44,17,0
205,39,8,0
206,46,13,0
207,35,12,0
208,36,9,0
209,35,9,0
210,37,16,0
211,35,10,0
212,41,16,0
213,41,15,0
214,43,17,0
215,42,18,0
216,38,20,0
217,41,22,0
218,40,17,0
219,39,18,0
220,44,19,0
221,38,16,0
222,37,20,0
223,39,15,0
224,37,10,0
225,35,14,0
226,34,18,0
227,36,17,0
228,37,15,0
229,38,18,0
230,33,12,0
231,35,12,0
232,31,8,0
233,37,18,0
234,39,21,0
235,39,17,0
236,42,22,0
237,42,19,0
238,39,14,0
239,38,21,0
240,38,17,0
241,37,16,0
242,37,23,0
243,43,22,0
244,42,25,0
245,43,25,0
246,45,25,0
247,45,22,0
248,44,25,0
249,43,26,0
250,46,32,0
251,44,27,0
252,44,27,0
253,44,25,0
254,54,29,0
255,46,29,0
256,44,31,0
257,46,23,0
258,47,30,0
259,43,19,0
260,45,15,0
261,43,26,0
262,43,26,0
263,45,29,0
264,45,23,0
265,43,24,0
266,46,25,0
267,45,14,0
268,46,14,0
269,42,20,0
270,41,24,0
271,39,23,0
272,40,15,0
273,42,21,0
274,44,25,0
275,44,19,0
276,43,23,0
277,40,23,0
278,41,25,0
279,43,24,0
280,42,25,0
281,42,16,0
282,42,25,0
283,42,16,0
284,42,27,0
285,44,25,0
286,44,22,0
287,39,23,0
288,42,23,0
289,42,21,0
290,41,23,0
291,43,23,0
292,43,23,0
293,44,23,0
294,44,22,0
295,44,20,0
296,45,26,0
297,44,22,0
298,45,18,0
299,42,20,0
300,44,17,0
301,44,14,0
302,42,13,0
303,43,13,0
304,47,17,0
305,42,14,0
306,44,22,0
307,42,7,0
308,46,24,0
309,45,15,0
310,44,14,0
311,47,21,0
312,47,20,0
313,47,26,0
314,48,25,0
315,45,25,0
316,47,25,0
317,47,28,0
318,48,28,0
319,48,18,0
320,50,14,0
321,50,16,0
322,45,17,0
323,47,21,0
324,46,16,0
325,46,16,0
326,54,26,0
327,49,27,0
328,50,27,0
329,49,24,0
330,45,23,0
331,45,25,0
332,48,26,0
333,46,23,0
334,43,24,0
335,43,25,0
336,46,27,0
337,47,27,0
338,47,31,0
339,46,31,0
340,48,27,0
341,49,26,0
342,47,27,0
343,44,27,0
344,46,25,0
345,46,23,0
346,47,24,0
347,44,28,0
348,46,27,0
349,44,27,0
350,46,27,0
351,49,31,0
352,49,35,0
353,49,30,0
354,50,33,0
355,47,30,0
356,50,28,0
357,51,32,0
358,55,33,0
359,52,22,0
360,55,38,0
361,52,35,0
362,53,37,0
363,51,38,0
364,49,32,0
365,54,28,0
366,50,29,0
367,53,27,0
368,63,40,0
369,62,39,0
370,55,40,0
371,50,40,0
372,54,39,0
373,57,33,0
374,53,30,0
375,55,14,0
376,54,39,0
377,52,39,0
378,52,40,0
379,54,40,0
380,53,40,0
381,54,42,0
382,54,38,0
383,53,33,0
384,53,39,0
385,52,40,0
386,52,38,0
387,51,40,0
388,52,39,0
389,50,39,0
390,51,43,0
391,52,34,0
392,51,29,0
393,54,37,0
394,56,38,0
395,54,39,0
396,55,32,0
397,57,44,0
398,57,44,0
399,56,43,0
400,59,44,0
401,57,42,0
402,59,38,0
403,53,43,0
404,56,42,0
405,56,36,0
406,57,42,0
407,56,43,0
408,56,39,0
409,56,44,0
410,56,38,0
411,56,44,0
412,57,44,0
413,58,44,0
414,58,42,0
415,57,41,0
416,59,37,0
417,57,31,0
418,61,37,0
419,56,45,0
420,58,43,0
421,58,43,0
422,55,41,0
423,56,42,0
424,56,44,0
425,54,34,0
426,58,45,0
427,57,46,0
428,59,44,0
429,59,46,0
430,59,43,0
431,58,48,0
432,58,41,0
433,58,41,0
434,58,42,0
435,58,41,0
436,61,44,0
437,61,41,0
438,59,46,0
439,59,44,0
440,60,44,0
441,57,44,0
442,59,43,0
443,60,47,0
444,59,46,0
445,58,48,0
446,56,46,0
447,56,48,0
448,58,47,0
449,58,41,0
450,56,48,0
451,57,46,0
452,59,45,0
453,58,45,0
454,65,44,0
