generation,max_fitness,median_fitness,min_fitness
0,2,0,0
1,4,2,0
2,4,1,0
3,5,2,0
4,8,2,0
5,8,2,0
6,8,2,0
7,8,2,0
8,8,2,0
9,8,2,0
10,8,2,0
11,8,2,0
12,9,2,0
13,9,2,0
14,9,2,0
15,9,2,0
16,9,2,0
17,9,2,0
18,9,2,0
19,11,2,0
20,11,2,0
21,11,2,0
22,11,2,0
23,11,2,0
24,11,2,0
25,11,2,0
26,11,2,0
27,11,2,0
28,11,2,0
29,11,2,0
30,11,2,0
31,11,2,0
32,11,2,0
33,11,2,0
34,11,2,0
35,11,2,0
36,11,2,0
37,11,2,0
38,11,2,0
39,11,2,0
40,11,2,0
41,11,2,0
42,11,2,0
43,11,2,0
44,11,2,0
45,11,2,0
46,11,2,0
47,11,2,0
48,11,2,0
49,11,2,0
50,11,2,0
51,11,2,0
52,11,2,0
53,11,2,0
54,11,2,0
55,11,2,0
56,11,2,0
57,11,2,0
58,11,2,0
59,11,2,0
60,11,2,0
61,11,2,0
62,11,2,0
63,11,2,0
64,11,2,0
65,11,2,0
66,11,2,0
67,11,2,0
68,11,2,0
69,11,2,0
70,11,2,0
71,11,2,0
72,11,2,0
73,11,2,0
74,11,2,0
75,11,2,0
76,11,2,0
77,11,2,0
78,11,2,0
79,11,2,0
80,11,2,0
81,11,2,0
82,11,2,0
83,11,2,0
84,11,2,0
85,11,2,0
86,11,2,0
87,11,2,0
88,11,2,0
89,11,2,0
90,11,2,0
91,11,2,0
92,11,2,0
93,11,2,0
94,11,2,0
95,11,2,0
96,11,2,0
97,11,2,0
98,11,2,0
99,11,2,0
100,11,1,0
101,11,2,0
102,11,2,0
103,11,2,0
104,11,2,0
105,11,2,0
106,11,2,0
107,11,2,0
108,11,1,0
109,11,2,0
110,11,2,0
111,11,2,0
112,11,1,0
113,11,2,0
114,11,1,0
115,11,2,0
116,11,1,0
117,11,2,0
118,11,2,0
119,11,2,0
120,11,1,0
121,11,2,0
122,11,1,0
123,11,2,0
124,11,1,0
125,11,2,0
126,11,2,0
127,11,2,0
128,11,1,0
129,11,2,0
130,11,2,0
131,11,2,0
132,11,1,0
133,11,2,0
134,11,2,0
135,11,2,0
136,11,1,0
137,11,2,0
138,11,2,0
139,11,2,0
140,11,2,0
141,11,2,0
142,11,1,0
143,11,2,0
144,11,2,0
145,11,2,0
146,11,1,0
147,11,2,0
148,11,1,0
149,11,2,0
150,11,2,0
151,11,2,0
152,11,2,0
153,11,2,0
154,11,1,0
155,11,2,0
156,11,2,0
157,12,2,0
158,12,2,0
159,12,2,0
160,12,2,0
161,12,2,0
162,12,2,0
163,12,2,0
164,12,3,0
165,12,2,0
166,12,3,0
167,12,2,0
168,12,3,0
169,12,2,0
170,12,2,0
171,12,3,0
172,12,2,0
173,12,3,0
174,12,2,0
175,12,2,0
176,15,2,0
177,15,2,0
178,15,2,0
179,15,2,0
180,15,2,0
181,15,2,0
182,15,2,0
183,15,2,0
184,15,2,0
185,15,2,0
186,15,2,0
187,15,2,0
188,15,2,0
189,15,2,0
190,15,2,0
191,15,2,0
192,15,2,0
193,15,2,0
194,15,3,0
195,15,2,0
196,15,2,0
197,15,2,0
198,15,2,0
199,15,2,0
200,15,2,0
201,15,2,0
202,15,2,0
203,15,2,0
204,15,2,0
205,15,2,0
206,15,2,0
207,15,2,0
208,15,2,0
209,15,2,0
210,15,2,0
211,15,2,0
212,15,2,0
213,15,2,0
214,15,2,0
215,15,2,0
216,15,2,0
217,15,2,0
218,15,2,0
219,15,2,0
220,15,2,0
221,15,2,0
222,15,2,0
223,15,2,0
224,15,2,0
225,15,2,0
226,15,2,0
227,15,2,0
228,15,2,0
229,15,2,0
230,15,2,0
231,15,2,0
232,15,2,0
233,15,3,0
234,15,2,0
235,15,2,0
236,15,2,0
237,15,2,0
238,15,3,0
239,15,2,0
240,15,2,0
241,15,2,0
242,15,2,0
243,15,2,0
244,15,2,0
245,15,2,0
246,15,2,0
247,15,2,0
248,15,2,0
249,15,2,0
250,15,2,0
251,15,2,0
252,15,2,0
253,15,2,0
254,15,2,0
255,15,2,0
256,15,2,0
257,15,2,0
258,15,2,0
259,15,2,0
260,15,2,0
261,15,2,0
262,15,2,0
263,15,2,0
264,15,2,0
265,15,2,0
266,15,2,0
267,15,2,0
268,15,2,0
269,15,2,0
270,15,2,0
271,15,2,0
272,15,2,0
273,15,2,0
274,15,2,0
275,15,2,0
276,15,2,0
277,15,2,0
278,15,2,0
279,15,2,0
280,15,2,0
281,15,2,0
282,15,2,0
283,15,2,0
284,15,2,0
285,15,2,0
286,15,2,0
287,15,2,0
288,15,2,0
289,15,2,0
290,15,2,0
291,15,2,0
292,15,2,0
293,15,2,0
294,15,2,0
295,15,2,0
296,15,2,0
297,15,2,0
298,15,2,0
299,15,2,0
300,15,2,0
301,15,2,0
302,15,2,0
