generation,max_fitness,median_fitness,min_fitness
0,2,0,0
1,3,1,0
2,3,1,0
3,4,1,0
4,4,0,0
5,4,0,0
6,4,1,0
7,4,1,0
8,4,1,0
9,7,1,0
10,8,1,0
11,8,1,0
12,7,2,0
13,8,2,0
14,8,2,0
15,9,1,0
16,9,2,0
17,10,1,0
18,10,1,0
19,12,1,0
20,9,1,0
21,11,1,0
22,10,2,0
23,12,1,0
24,9,1,0
25,8,1,0
26,9,1,0
27,10,1,0
28,12,1,0
29,12,1,0
30,12,1,0
31,12,1,0
32,13,2,0
33,15,1,0
34,13,2,0
35,16,2,0
36,17,3,0
37,15,1,0
38,13,2,0
39,18,2,0
40,19,5,0
41,20,3,0
42,22,6,0
43,20,7,0
44,19,3,0
45,20,4,0
46,23,8,0
47,22,2,0
48,20,7,0
49,22,2,0
50,21,3,0
51,19,7,0
52,22,6,0
53,22,4,0
54,23,6,0
55,23,12,0
56,26,5,0
57,24,6,0
58,25,8,0
59,26,13,0
60,26,13,0
61,25,12,0
62,23,13,0
63,25,12,0
64,23,7,0
65,24,6,0
66,23,16,0
67,25,6,0
68,24,14,0
69,24,13,0
70,25,15,0
71,23,14,0
72,24,11,0
73,24,8,0
74,25,12,0
75,28,17,0
76,28,15,0
77,28,17,0
78,28,17,0
79,23,12,0
80,24,14,0
81,25,17,0
82,25,13,0
83,25,18,0
84,26,12,0
85,25,19,0
86,30,18,0
87,27,16,0
88,29,20,0
89,29,20,0
90,27,18,0
91,26,16,0
92,26,20,0
93,28,17,0
94,27,18,0
95,27,14,0
96,28,17,0
97,28,16,0
98,24,13,0
99,25,10,0
100,27,17,0
101,27,19,0
102,27,19,0
103,26,16,0
104,25,16,0
105,26,13,0
106,26,14,0
107,28,16,0
108,27,17,0
109,29,13,0
110,29,18,0
111,29,7,0
112,28,18,0
113,26,14,0
114,25,14,0
115,25,11,0
116,26,8,0
117,27,18,0
118,27,19,0
119,25,16,0
120,27,19,0
121,27,14,0
122,28,17,0
123,28,17,0
124,27,17,0
125,28,19,0
126,27,16,0
127,25,17,0
128,29,22,0
129,28,13,0
130,29,17,0
131,27,16,0
132,24,9,0
133,23,10,0
134,25,14,0
135,23,8,0
136,22,7,0
137,24,7,0
138,28,14,0
139,24,7,0
140,24,11,0
141,24,5,0
142,23,9,0
143,23,7,0
144,24,8,0
145,23,7,0
146,24,11,0
147,24,9,0
148,24,10,0
149,23,11,0
150,25,16,0
151,23,9,0
152,24,13,0
153,23,11,0
154,25,13,0
155,24,10,0
156,24,13,0
157,23,5,0
158,26,17,0
159,25,14,0
160,25,13,0
161,25,12,0
162,24,13,0
163,23,12,0
164,25,7,0
165,25,10,0
166,25,8,0
167,25,11,0
168,25,11,0
169,25,13,0
170,25,20,0
171,25,12,0
172,25,19,0
173,25,16,0
174,25,14,0
175,25,11,0
176,25,17,0
177,25,14,0
178,25,17,0
179,25,10,0
180,25,17,0
181,26,7,0
182,26,16,0
183,25,7,0
184,26,11,0
185,25,3,0
186,29,14,0
187,25,12,0
188,26,17,0
189,29,16,0
190,26,14,0
191,30,16,0
192,26,17,0
193,26,12,0
194,23,12,0
195,26,15,0
196,28,16,0
197,26,14,0
198,27,13,0
199,26,16,0
200,26,15,0
201,26,12,0
202,26,14,0
203,26,16,0
204,28,14,0
205,28,9,0
206,26,12,0
207,29,9,0
208,26,13,0
209,25,11,0
210,25,11,0
211,25,13,0
212,28,14,0
213,24,13,0
214,26,14,0
215,28,14,0
216,26,16,0
217,24,16,0
218,24,19,0
219,25,14,0
220,26,17,0
221,26,18,0
222,28,22,0
223,29,19,0
224,30,18,0
225,29,19,0
226,29,20,0
227,29,21,0
228,29,23,0
229,30,23,0
230,29,21,0
231,30,22,0
232,30,23,0
233,30,23,0
234,30,23,0
235,29,17,0
236,30,23,0
237,29,10,0
238,29,15,0
239,30,12,0
240,34,9,0
241,30,9,0
242,29,22,0
243,30,10,0
244,30,22,0
245,29,14,0
246,30,14,0
247,29,21,0
248,37,22,0
249,33,21,0
250,35,23,0
251,35,8,0
252,38,22,0
253,36,18,0
254,37,20,0
255,34,18,0
256,40,20,0
257,36,16,0
258,36,12,0
259,38,10,0
260,40,12,0
261,40,9,0
262,40,20,0
263,36,20,0
264,39,22,0
265,33,5,0
266,36,22,0
267,36,8,0
268,38,21,0
269,38,17,0
270,38,22,0
271,40,22,0
272,37,22,0
273,38,14,0
274,37,14,0
275,35,18,0
276,37,17,0
277,43,11,0
278,36,23,0
279,36,14,0
280,36,12,0
281,39,11,0
282,35,8,0
283,33,10,0
284,39,18,0
285,35,15,0
286,36,20,0
287,41,20,0
288,40,22,0
289,42,12,0
290,40,17,0
291,40,14,0
292,37,12,0
