generation,max_fitness,median_fitness,min_fitness
0,3,0,0
1,4,1,0
2,7,1,0
3,7,1,0
4,6,1,0
5,6,1,0
6,6,1,0
7,8,1,0
8,7,1,0
9,7,1,0
10,9,1,0
11,9,1,0
12,9,1,0
13,13,1,0
14,15,3,0
15,15,3,0
16,15,2,0
17,15,3,0
18,17,2,0
19,18,2,0
20,17,3,0
21,16,2,0
22,16,3,0
23,16,2,0
24,15,3,0
25,15,2,0
26,18,6,0
27,18,1,0
28,17,3,0
29,16,5,0
30,16,5,0
31,14,2,0
32,18,3,0
33,15,3,0
34,15,4,0
35,15,3,0
36,15,3,0
37,17,5,0
38,15,3,0
39,15,3,0
40,15,3,0
41,13,3,0
42,14,2,0
43,13,2,0
44,17,3,0
45,14,3,0
46,15,1,0
47,15,2,0
48,14,3,0
49,14,2,0
50,16,2,0
51,15,2,0
52,16,3,0
53,19,2,0
54,18,2,0
55,18,3,0
56,17,2,0
57,18,3,0
58,18,3,0
59,18,5,0
60,17,3,0
61,18,2,0
62,18,5,0
63,17,1,0
64,18,2,0
65,16,3,0
66,17,5,0
67,18,6,0
68,18,1,0
69,17,4,0
70,16,5,0
71,17,5,0
72,16,5,0
73,20,9,0
74,19,7,0
75,19,6,0
76,18,3,0
77,19,4,0
78,16,2,0
79,18,4,0
80,19,10,0
81,19,8,0
82,18,7,0
83,19,12,0
84,18,5,0
85,18,5,0
86,22,12,0
87,21,10,0
88,19,5,0
89,19,6,0
90,19,11,0
91,22,10,0
92,22,11,0
93,23,9,0
94,21,8,0
95,18,7,0
96,18,7,0
97,20,7,0
98,23,8,0
99,24,4,0
100,24,6,0
101,25,12,0
102,27,10,0
103,23,13,0
104,26,10,0
105,24,3,0
106,23,4,0
107,26,9,0
108,23,14,0
109,23,7,0
110,23,11,0
111,24,7,0
112,20,6,0
113,21,7,0
114,23,15,0
115,25,13,0
116,26,15,0
117,22,13,0
118,26,15,0
119,26,13,0
120,23,13,0
121,25,14,0
122,26,13,0
123,26,11,0
124,26,7,0
125,26,9,0
126,26,8,0
127,24,9,0
128,26,7,0
129,23,11,0
130,23,4,0
131,23,5,0
132,21,4,0
133,22,7,0
134,20,11,0
135,24,6,0
136,23,10,0
137,20,6,0
138,22,11,0
139,24,8,0
140,23,10,0
141,22,8,0
142,23,11,0
143,28,8,0
144,27,9,0
145,27,9,0
146,24,1,0
147,24,11,0
148,29,8,0
149,23,12,0
150,25,10,0
151,25,12,0
152,27,13,0
153,25,11,0
154,28,11,0
155,31,16,0
156,28,15,0
157,26,14,0
158,26,10,0
159,31,18,0
160,31,18,0
161,29,14,0
162,29,15,0
163,30,17,0
164,34,20,0
165,33,12,0
166,31,18,0
167,30,15,0
168,34,18,0
169,30,18,0
170,31,18,0
171,33,9,0
172,34,20,0
173,33,16,0
174,32,20,0
175,36,16,0
176,34,20,0
177,38,18,0
178,36,19,0
179,34,20,0
180,33,19,0
181,38,19,0
182,40,23,0
183,38,18,0
184,36,18,0
185,38,12,0
186,34,11,0
187,38,15,0
188,36,17,0
189,32,11,0
190,31,16,0
191,35,13,0
192,32,18,0
193,37,17,0
194,32,17,0
195,32,17,0
196,32,16,0
197,32,13,0
198,35,18,0
199,31,15,0
200,33,21,0
201,32,15,0
202,35,19,0
203,35,14,0
204,36,20,0
205,34,18,0
206,32,19,0
207,32,16,0
208,36,18,0
209,36,18,0
210,38,18,0
211,33,16,0
212,34,17,0
213,36,11,0
214,38,20,0
215,36,18,0
216,36,20,0
217,36,18,0
218,36,18,0
219,38,21,0
220,36,19,0
221,38,17,0
222,40,15,0
223,33,18,0
224,38,21,0
225,35,17,0
226,33,17,0
227,30,14,0
228,34,18,0
229,39,14,0
230,35,21,0
231,34,11,0
232,40,21,0
233,34,18,0
234,35,15,0
235,35,13,0
236,38,19,0
237,39,9,0
238,39,19,0
239,39,22,0
240,39,25,0
241,34,20,0
242,39,27,0
243,38,21,0
244,39,21,0
245,35,18,0
246,36,20,0
247,36,11,0
248,39,7,0
249,31,7,0
250,35,18,0
251,31,14,0
252,31,7,0
253,32,9,0
254,33,17,0
255,31,14,0
256,34,20,0
257,36,21,0
258,35,19,0
259,36,12,0
260,37,10,0
261,35,17,0
262,38,21,0
263,35,19,0
264,30,4,0
265,28,11,0
266,31,11,0
267,30,15,0
268,31,10,0
269,32,7,0
270,32,9,0
271,31,9,0
272,32,16,0
273,31,3,0
274,32,9,0
275,32,4,0
276,30,9,0
277,33,17,0
278,33,22,0
279,34,19,0
280,35,23,0
281,35,18,0
282,39,22,0
283,36,22,0
284,39,24,0
285,35,9,0
286,32,10,0
287,32,7,0
288,33,21,0
289,30,13,0
290,32,17,0
291,38,20,0
292,39,22,0
293,36,20,0
294,38,19,0
295,37,14,0
296,39,21,0
297,39,18,0
298,37,17,0
299,36,10,0
300,37,15,0
301,35,10,0
302,40,22,0
303,40,6,0
304,40,21,0
305,41,22,0
306,41,25,0
307,40,22,0
308,40,25,0
309,40,21,0
310,40,24,0
311,40,23,0
312,40,24,0
313,40,19,0
314,40,25,0
315,40,22,0
316,40,27,0
317,40,25,0
318,40,21,0
319,40,22,0
320,39,22,0
321,40,21,0
322,40,22,0
323,39,22,0
324,39,23,0
325,33,19,0
326,39,21,0
327,31,17,0
328,32,16,0
329,31,9,0
330,38,13,0
331,27,4,0
332,30,12,0
333,36,16,0
334,34,18,0
335,39,21,0
336,32,23,0
337,39,23,0
338,33,23,0
339,39,22,0
340,34,23,0
341,38,23,0
342,39,22,0
343,39,19,0
344,39,22,0
345,39,19,0
346,38,17,0
347,34,14,0
348,39,16,0
349,40,21,0
350,40,23,0
351,39,20,0
352,39,21,0
353,39,19,0
354,38,21,0
355,39,21,0
356,40,19,0
357,39,14,0
358,39,16,0
359,38,9,0
360,35,16,0
361,36,11,0
362,33,20,0
363,33,11,0
364,37,11,0
365,35,16,0
366,39,11,0
367,34,20,0
368,36,22,0
369,38,21,0
370,31,19,0
371,34,12,0
372,31,22,0
373,33,19,0
374,35,6,0
375,35,19,0
376,36,11,0
377,36,17,0
378,39,16,0
379,40,18,0
380,37,19,0
381,40,11,0
382,39,19,0
383,38,2,0
384,39,23,0
385,39,17,0
386,39,21,0
387,37,14,0
388,39,20,0
389,37,17,0
390,39,6,0
391,39,11,0
392,39,11,0
393,39,11,0
394,39,11,0
395,39,11,0
396,34,11,0
397,39,11,0
398,39,7,0
399,37,17,0
400,41,12,0
401,41,16,0
402,41,17,0
403,41,11,0
404,41,18,0
405,41,11,0
406,41,11,0
407,41,15,0
408,41,11,0
409,41,11,0
410,41,18,0
411,39,11,0
412,39,7,0
413,39,11,0
414,39,6,0
415,40,10,0
416,37,11,0
417,37,10,0
418,39,20,0
419,34,15,0
420,38,17,0
421,37,17,0
422,38,18,0
423,37,14,0
424,37,17,0
425,38,23,0
426,39,25,0
427,39,24,0
428,39,25,0
429,40,25,0
430,40,27,0
431,40,25,0
432,40,26,0
433,40,22,0
434,40,24,0
435,38,25,0
436,39,28,0
437,39,25,0
438,39,25,0
439,39,25,0
440,39,28,0
441,40,27,0
442,40,27,0
443,39,25,0
444,39,28,0
445,40,26,0
446,40,25,0
447,39,26,0
448,40,27,0
449,40,23,0
450,40,25,0
451,39,26,0
452,41,22,0
453,39,23,0
454,39,23,0
455,39,23,0
456,40,23,0
457,40,23,0
458,40,27,0
459,40,23,0
460,40,25,0
461,40,24,0
462,40,24,0
463,40,25,0
464,40,17,0
465,40,22,0
466,39,29,0
467,40,26,0
468,40,26,0
469,39,24,0
470,40,25,0
471,40,25,0
472,40,25,0
473,40,23,0
474,40,23,0
475,40,25,0
476,40,25,0
477,40,26,0
478,40,25,0
479,40,23,0
480,40,26,0
481,39,23,0
482,42,25,0
483,40,24,0
484,39,25,0
485,40,25,0
486,40,25,0
487,41,25,0
488,40,27,0
489,39,25,0
490,40,27,0
491,40,27,0
492,42,26,0
493,40,27,0
494,40,23,0
495,40,21,0
496,40,21,0
497,40,21,0
498,40,25,0
499,40,22,0
500,40,21,0
501,40,25,0
502,40,22,0
503,40,18,0
504,40,21,0
505,40,18,0
506,39,21,0
507,39,10,0
508,42,23,0
509,42,19,0
510,39,22,0
511,40,20,0
512,40,25,0
513,41,23,0
514,40,20,0
515,40,16,0
516,40,16,0
517,40,5,0
518,40,22,0
519,40,3,0
520,40,23,0
521,40,15,0
522,40,23,0
523,40,18,0
524,40,25,0
525,41,25,0
526,40,25,0
527,40,26,0
528,40,25,0
529,39,16,0
530,40,27,0
531,42,19,0
532,40,25,0
533,41,15,0
534,41,27,0
535,41,27,0
536,40,27,0
537,40,7,0
538,39,20,0
539,40,25,0
540,39,23,0
541,40,4,0
542,40,25,0
543,38,3,0
544,39,17,0
545,38,11,0
546,39,18,0
547,40,22,0
548,40,20,0
549,40,15,0
550,40,9,0
551,40,10,0
552,40,15,0
553,39,15,0
554,39,24,0
555,39,13,0
556,40,19,0
557,39,19,0
558,42,24,0
559,42,24,0
560,40,22,0
561,40,13,0
562,39,20,0
563,39,18,0
564,39,24,0
565,40,16,0
566,40,20,0
567,39,19,0
568,40,24,0
569,40,23,0
570,40,25,0
571,39,24,0
572,40,23,0
573,40,23,0
574,40,24,0
575,40,24,0
576,40,23,0
577,40,22,0
578,40,21,0
579,39,24,0
580,41,25,0
581,43,23,0
582,40,25,0
583,43,21,0
584,40,21,0
585,42,25,0
586,40,22,0
587,40,23,0
588,42,25,0
589,42,19,0
590,40,23,0
591,40,13,0
592,43,22,0
593,41,13,0
594,40,16,0
595,42,21,0
596,42,25,0
597,42,21,0
598,42,20,0
599,42,15,0
600,42,23,0
601,41,23,0
602,39,8,0
603,42,23,0
