generation,max_fitness,median_fitness,min_fitness
0,1,0,0
1,3,1,0
2,4,1,0
3,6,1,0
4,10,1,0
5,10,3,0
6,10,3,0
7,8,3,0
8,9,4,0
9,12,4,0
10,10,4,0
11,10,5,0
12,11,5,0
13,10,4,0
14,11,5,0
15,10,4,0
16,11,5,0
17,10,5,0
18,13,5,0
19,11,5,0
20,10,5,0
21,11,4,0
22,12,5,0
23,11,4,0
24,12,5,0
25,10,5,0
26,13,5,0
27,13,5,0
28,11,5,0
29,10,5,0
30,12,5,0
31,10,5,0
32,16,6,0
33,13,5,0
34,13,5,0
35,10,4,0
36,12,5,0
37,11,5,0
38,14,6,0
39,12,5,0
40,15,6,0
41,13,5,0
42,12,5,0
43,11,6,0
44,13,6,0
45,14,5,0
46,13,6,0
47,12,5,0
48,12,5,0
49,13,6,0
50,13,6,0
51,14,6,0
52,15,7,0
53,13,7,0
54,13,6,0
55,12,6,0
56,12,7,0
57,13,6,0
58,15,7,0
59,14,7,0
60,15,6,0
61,13,6,0
62,15,7,0
63,14,6,0
64,14,7,0
65,14,6,0
66,13,7,0
67,14,6,0
68,15,6,0
69,14,6,0
70,15,6,0
71,15,7,0
72,13,7,0
73,14,7,0
74,15,8,0
75,13,6,0
76,14,8,0
77,16,7,0
78,15,8,0
79,13,7,0
80,16,8,0
81,13,7,0
82,15,7,0
83,13,7,0
84,14,7,0
85,15,7,0
86,16,8,0
87,15,8,0
88,16,7,0
89,14,7,0
90,15,7,0
91,15,6,0
92,14,8,0
93,16,8,0
94,15,7,0
95,16,7,0
96,14,8,0
97,15,8,0
98,12,8,0
99,15,8,0
100,14,8,0
101,15,9,0
102,15,8,0
103,14,8,0
104,14,8,0
105,13,8,0
106,15,8,0
107,15,8,0
108,14,8,0
109,15,8,0
110,13,8,0
111,15,8,0
112,16,9,0
113,14,8,0
114,15,8,0
115,13,7,0
116,15,8,0
117,15,7,0
118,14,8,0
119,16,8,0
120,15,9,0
121,14,7,0
122,15,9,0
123,16,8,0
124,17,9,0
125,15,9,0
126,15,8,0
127,14,9,0
128,14,9,0
129,15,8,0
130,14,8,0
131,15,8,0
132,15,8,0
133,15,9,0
134,15,9,0
135,17,8,0
136,15,8,0
137,15,8,0
138,15,7,0
139,14,8,0
140,14,9,0
141,16,9,0
142,14,8,0
143,16,8,0
144,14,8,0
145,16,9,0
146,16,8,0
147,14,8,0
148,15,8,0
149,14,8,0
150,14,8,0
151,15,8,0
152,14,9,0
153,16,9,0
154,14,8,0
155,15,8,0
156,16,9,0
157,14,9,0
158,15,9,0
159,15,9,0
160,15,9,0
