generation,max_fitness,median_fitness,min_fitness
0,2,0,0
1,3,0,0
2,2,0,0
3,3,0,0
4,4,1,0
5,2,1,0
6,5,1,0
7,3,1,0
8,3,1,0
9,4,1,0
10,7,1,0
11,5,1,0
12,7,1,0
13,6,1,0
14,5,1,0
15,7,1,0
16,4,1,0
17,4,2,0
18,6,2,0
19,8,2,0
20,5,1,0
21,5,1,0
22,12,1,0
23,9,2,0
24,8,2,0
25,8,2,0
26,8,2,0
27,13,2,0
28,11,2,0
29,12,1,0
30,9,2,0
31,7,2,0
32,9,2,0
33,10,2,0
34,10,2,0
35,12,2,0
36,9,3,0
37,11,3,0
38,11,2,0
39,9,2,0
40,9,3,0
41,11,3,0
42,11,2,0
43,12,3,0
44,10,4,0
45,11,4,0
46,11,4,0
47,10,3,0
48,11,4,0
49,13,4,0
50,13,4,0
51,12,4,0
52,12,4,0
53,13,4,0
54,13,4,0
55,13,3,0
56,13,4,0
57,13,5,0
58,13,5,0
59,15,3,0
60,14,4,0
61,14,4,0
62,11,4,0
63,14,3,0
64,13,3,0
65,13,4,0
66,14,5,0
67,13,5,0
68,12,4,0
69,13,5,0
70,15,6,0
71,13,6,0
72,13,4,0
73,13,5,0
74,13,5,0
75,13,7,0
76,13,4,0
77,13,4,0
78,13,7,0
79,13,6,0
80,13,8,0
81,13,7,0
82,14,5,0
83,14,5,0
84,16,7,0
85,14,5,0
86,14,7,0
87,14,5,0
88,14,8,0
89,14,8,0
90,14,8,0
91,14,8,0
92,16,7,0
93,14,8,0
94,14,9,0
95,14,8,0
96,14,9,0
97,14,5,0
98,14,7,0
99,14,8,0
100,14,8,0
101,14,7,0
102,14,9,0
103,14,8,0
104,14,8,0
105,14,9,0
106,14,9,0
107,14,9,0
108,14,9,0
109,14,9,0
110,14,9,0
111,14,7,0
112,14,8,0
113,14,9,0
114,14,11,0
115,14,12,0
116,14,9,0
117,14,9,0
118,14,9,0
119,14,11,0
120,14,8,0
121,14,10,0
122,14,11,0
123,15,9,0
124,14,9,0
125,14,8,0
126,14,11,0
127,14,9,0
128,16,9,0
129,17,12,0
130,16,13,0
131,19,11,0
132,19,11,0
133,19,12,0
134,18,12,0
135,19,12,0
136,18,11,0
137,18,11,0
138,19,11,0
139,17,11,0
140,21,12,0
141,21,11,0
142,21,12,0
143,19,11,0
144,20,12,0
145,22,12,0
146,22,13,0
147,21,12,0
148,21,13,0
149,21,12,0
150,20,12,0
151,19,12,0
152,19,12,0
153,21,13,0
154,24,12,0
155,23,13,0
156,26,11,0
157,22,11,0
158,23,13,0
159,24,14,0
160,22,11,0
161,24,11,0
162,21,12,0
163,22,12,0
164,24,12,0
165,23,13,0
166,23,11,0
167,20,11,0
168,23,11,0
169,21,11,0
170,22,11,0
171,25,13,0
172,26,11,0
173,24,10,0
174,26,12,0
175,23,13,0
176,22,12,0
177,23,9,0
178,25,11,0
179,25,13,0
180,26,12,0
181,25,13,0
182,26,11,0
183,22,13,0
184,25,14,0
185,26,13,0
186,25,11,0
187,24,16,0
188,24,9,0
189,24,11,0
190,24,14,0
191,25,12,0
192,25,11,0
193,23,11,0
194,23,16,0
195,25,13,0
196,24,15,0
197,25,18,0
198,26,16,0
199,24,13,0
200,24,16,0
201,25,17,0
202,28,17,0
203,24,16,0
204,24,13,0
205,22,13,0
206,26,13,0
207,24,13,0
208,26,13,0
209,27,16,0
210,24,12,0
211,24,13,0
212,25,12,0
213,23,12,0
214,24,12,0
215,26,11,0
216,26,14,0
217,25,14,0
218,23,10,0
219,25,13,0
220,24,12,0
221,23,11,0
222,27,11,0
223,27,11,0
224,25,9,0
225,29,13,0
226,25,12,0
227,25,12,0
228,26,12,0
229,24,9,0
230,24,12,0
231,27,16,0
232,23,11,0
233,27,12,0
234,26,10,0
235,20,8,0
236,22,8,0
237,23,17,0
238,23,12,0
239,23,14,0
240,29,13,0
241,26,14,0
242,26,9,0
243,25,12,0
244,28,13,0
245,23,13,0
246,23,16,0
247,25,13,0
248,26,12,0
249,23,16,0
250,23,11,0
251,29,14,0
252,27,18,0
253,26,11,0
254,24,10,0
255,25,14,0
256,26,13,0
257,22,12,0
258,28,16,0
259,29,16,0
260,28,12,0
261,28,15,0
262,27,13,0
263,24,12,0
264,24,12,0
265,25,13,0
266,27,13,0
267,26,14,0
268,24,15,0
269,29,13,0
270,24,12,0
271,24,16,0
272,25,15,0
273,25,16,0
274,30,17,0
275,30,18,0
276,30,18,0
277,25,17,0
278,30,17,0
279,35,20,0
280,29,20,0
281,25,20,0
282,28,17,0
283,25,12,0
284,28,18,0
285,27,15,0
286,28,13,0
287,32,20,0
288,27,20,0
289,27,14,0
290,29,15,0
291,24,15,0
292,28,14,0
293,26,12,0
294,28,13,0
295,27,13,0
296,26,13,0
297,26,13,0
298,27,11,0
299,24,11,0
300,24,11,0
301,26,12,0
302,26,14,0
303,30,17,0
304,28,17,0
305,27,17,0
306,26,17,0
307,28,13,0
308,28,12,0
309,25,14,0
310,26,17,0
311,24,12,0
312,27,11,0
313,28,17,0
314,29,13,0
315,30,17,0
316,30,16,0
317,26,15,0
318,26,11,0
319,24,14,0
320,30,15,0
321,26,13,0
322,27,19,0
323,24,12,0
324,28,13,0
325,25,17,0
326,24,17,0
327,27,18,0
328,28,21,0
329,24,11,0
330,28,15,0
331,30,20,0
332,30,16,0
333,33,18,0
334,33,17,0
335,26,18,0
336,32,20,0
337,27,18,0
338,27,15,0
339,25,11,0
340,28,15,0
341,26,14,0
342,27,17,0
343,28,17,0
344,27,17,0
345,32,15,0
346,30,14,0
347,28,16,0
348,28,18,0
349,24,16,0
350,32,19,0
351,32,19,0
352,34,15,0
353,30,13,0
354,25,13,0
355,24,13,0
356,29,15,0
357,32,17,0
358,29,17,0
359,28,17,0
360,30,20,0
361,26,17,0
362,27,19,0
363,25,17,0
364,29,19,0
365,32,17,0
366,33,18,0
367,19,9,0
368,28,13,0
369,31,17,0
370,29,18,0
371,24,16,0
372,30,14,0
373,32,17,0
374,30,19,0
375,32,19,0
376,28,17,0
377,24,12,0
378,25,20,0
379,24,16,0
380,31,18,0
381,35,12,0
382,29,14,0
383,33,15,0
384,33,17,0
385,33,17,0
386,35,15,0
387,34,15,0
388,33,15,0
389,32,13,0
390,37,16,0
391,33,13,0
392,30,12,0
393,29,17,0
394,30,12,0
395,24,16,0
396,31,20,0
397,28,16,0
398,29,12,0
399,17,10,0
400,28,13,0
401,30,16,0
402,33,12,0
403,27,15,0
404,30,16,0
405,23,14,0
406,27,15,0
407,28,16,0
408,28,9,0
409,25,16,0
410,29,17,0
411,31,18,0
412,27,10,0
413,30,12,0
414,27,16,0
415,30,13,0
416,31,13,0
417,29,16,0
418,31,18,0
419,32,18,0
420,32,14,0
421,30,13,0
422,29,17,0
423,30,12,0
424,35,16,0
425,30,17,0
426,29,18,0
427,28,16,0
428,26,16,0
429,24,13,0
430,27,12,0
431,33,11,0
432,31,12,0
433,27,16,0
434,28,19,0
435,31,17,0
436,33,17,0
437,33,16,0
438,33,17,0
439,27,16,0
440,31,18,0
441,33,21,0
442,30,17,0
443,29,13,0
444,30,14,0
445,33,11,0
446,29,16,0
447,30,15,0
448,36,17,0
449,31,16,0
450,34,17,0
451,30,16,0
452,35,14,0
453,28,16,0
454,28,14,0
455,30,17,0
456,32,17,0
457,33,13,0
458,29,13,0
459,30,11,0
460,34,12,0
461,17,9,0
462,32,12,0
463,35,13,0
464,35,17,0
465,30,11,0
466,33,11,0
467,32,13,0
468,30,16,0
469,38,17,0
470,35,12,0
471,33,17,0
472,33,13,0
473,31,20,0
474,32,20,0
475,32,11,0
476,30,11,0
477,35,21,0
478,35,17,0
479,30,11,0
480,34,11,0
481,29,14,0
482,31,17,0
483,35,17,0
484,33,17,0
485,33,15,0
486,35,16,0
487,35,17,0
488,36,17,0
489,34,15,0
490,34,12,0
491,33,18,0
492,39,21,0
493,34,19,0
494,33,19,0
495,29,12,0
496,33,20,0
497,32,16,0
498,35,16,0
499,30,12,0
500,37,21,0
501,35,15,0
502,33,20,0
503,36,17,0
504,37,21,0
505,34,11,0
506,30,11,0
507,36,13,0
508,32,20,0
509,35,13,0
510,35,20,0
511,28,9,0
512,28,10,0
513,36,17,0
514,35,19,0
515,31,16,0
516,35,15,0
517,32,19,0
518,33,21,0
519,32,21,0
520,31,20,0
521,37,20,0
522,35,21,0
523,17,11,0
524,33,17,0
525,33,17,0
526,33,17,0
527,36,16,0
528,35,17,0
529,21,10,0
530,32,14,0
531,35,11,0
532,32,21,0
533,30,17,0
534,35,17,0
535,27,17,0
536,35,17,0
537,32,13,0
538,39,17,0
539,32,13,0
540,34,16,0
541,35,13,0
