generation,max_fitness,median_fitness,min_fitness
0,1,0,0
1,2,0,0
2,3,1,0
3,3,1,0
4,5,1,0
5,4,1,0
6,7,1,0
7,5,1,0
8,5,1,0
9,6,1,0
10,5,1,0
11,5,1,0
12,5,1,0
13,5,1,0
14,8,1,0
15,9,1,0
16,7,1,0
17,6,1,0
18,6,1,0
19,9,1,0
20,6,1,0
21,8,2,0
22,7,1,0
23,8,2,0
24,8,2,0
25,8,2,0
26,10,2,0
27,9,2,0
28,10,2,0
29,8,2,0
30,10,2,0
31,10,2,0
32,9,2,0
33,10,2,0
34,15,2,0
35,12,2,0
36,10,2,0
37,8,2,0
38,10,2,0
39,9,2,0
40,10,2,0
41,12,2,0
42,10,2,0
43,10,2,0
44,12,3,0
45,10,3,0
46,14,4,0
47,10,4,0
48,14,5,0
49,14,4,0
50,15,4,0
51,14,4,0
52,14,5,0
53,16,3,0
54,16,4,0
55,15,4,0
56,15,5,0
57,17,5,0
58,14,5,0
59,15,4,0
60,17,5,0
61,16,5,0
62,17,6,0
63,17,4,0
64,17,5,0
65,17,5,0
66,15,4,0
67,17,5,0
68,17,3,0
69,16,4,0
70,18,5,0
71,17,5,0
72,17,7,0
73,20,6,0
74,17,5,0
75,17,7,0
76,19,7,0
77,20,7,0
78,20,7,0
79,18,5,0
80,22,7,0
81,19,7,0
82,19,6,0
83,20,5,0
84,22,5,0
85,22,5,0
86,18,6,0
87,22,8,0
88,22,7,0
89,20,7,0
90,22,7,0
91,20,7,0
92,22,10,0
93,20,6,0
94,22,8,0
95,22,8,0
96,22,8,0
97,22,8,0
98,19,8,0
99,20,8,0
100,19,7,0
101,22,9,0
102,19,11,0
103,19,7,0
104,22,8,0
105,22,9,0
106,23,10,0
107,23,9,0
108,23,10,0
109,23,7,0
110,22,8,0
111,23,8,0
112,24,9,0
113,23,10,0
114,23,7,0
115,23,9,0
116,23,10,0
117,22,10,0
118,23,8,0
119,24,10,0
120,22,9,0
121,23,10,0
122,24,15,0
123,24,8,0
124,23,13,0
125,24,15,0
126,24,14,0
127,24,14,0
128,23,14,0
129,25,13,0
130,23,14,0
131,25,17,0
132,25,16,0
133,24,16,0
134,23,15,0
135,24,15,0
136,24,16,0
137,24,16,0
138,25,15,0
139,24,13,0
140,26,14,0
141,28,16,0
142,27,16,0
143,26,13,0
144,25,12,0
145,26,12,0
146,25,15,0
147,28,16,0
148,26,10,0
149,26,14,0
150,26,10,0
151,24,12,0
152,24,16,0
153,27,15,0
154,26,15,0
155,25,14,0
156,26,16,0
157,24,9,0
158,26,14,0
