generation,max_fitness,median_fitness,min_fitness
0,1,0,0
1,2,0,0
2,2,0,0
3,4,1,0
4,3,1,0
5,3,0,0
6,4,0,0
7,5,1,0
8,5,1,0
9,4,1,0
10,6,1,0
11,7,1,0
12,7,1,0
13,6,1,0
14,6,1,0
15,5,2,0
16,6,1,0
17,6,1,0
18,6,2,0
19,7,2,0
20,7,2,0
21,8,1,0
22,8,2,0
23,9,2,0
24,10,2,0
25,12,2,0
26,11,2,0
27,12,2,0
28,13,3,0
29,13,3,0
30,13,2,0
31,13,2,0
32,13,3,0
33,12,4,0
34,12,3,0
35,9,3,0
36,12,3,0
37,10,4,0
38,18,3,0
39,13,3,0
40,12,2,0
41,17,4,0
42,12,3,0
43,13,3,0
44,14,2,0
45,13,4,0
46,18,3,0
47,18,3,0
48,13,4,0
49,13,4,0
50,14,4,0
51,13,3,0
52,16,4,0
53,13,3,0
54,16,3,0
55,22,3,0
56,14,5,0
57,13,4,0
58,17,2,0
59,13,4,0
60,16,3,0
61,16,3,0
62,14,2,0
63,13,3,0
64,16,4,0
65,16,2,0
66,16,3,0
67,14,4,0
68,15,4,0
69,19,5,0
70,14,4,0
71,16,5,0
72,16,5,0
73,16,4,0
74,17,4,0
75,23,4,0
76,16,4,0
77,16,4,0
78,15,4,0
79,17,4,0
80,14,3,0
81,14,5,0
82,14,4,0
83,15,5,0
84,17,7,0
85,16,6,0
86,19,5,0
87,17,7,0
88,17,5,0
89,17,8,0
90,17,6,0
91,17,8,0
92,17,7,0
93,17,9,0
94,17,8,0
95,17,9,0
96,16,7,0
97,17,7,0
98,17,6,0
99,17,6,0
100,16,7,0
101,16,7,0
102,17,5,0
103,19,6,0
104,16,5,0
105,19,5,0
106,17,5,0
107,19,8,0
108,19,9,0
109,19,8,0
110,16,8,0
111,17,7,0
112,17,6,0
113,19,8,0
114,21,8,0
115,17,10,0
116,19,8,0
117,22,9,0
118,22,8,0
119,22,10,0
120,18,6,0
121,19,8,0
122,19,7,0
123,19,6,0
124,23,4,0
125,22,8,0
126,23,7,0
127,24,7,0
128,22,8,0
129,22,8,0
130,26,5,0
131,27,5,0
132,24,7,0
133,26,9,0
134,26,8,0
135,28,7,0
136,23,6,0
137,28,7,0
138,29,8,0
139,27,7,0
140,25,8,0
141,27,10,0
142,27,7,0
143,27,10,0
144,27,8,0
145,30,9,0
146,28,8,0
147,29,10,0
148,28,6,0
149,28,9,0
150,28,8,0
151,32,11,0
152,29,4,0
153,27,10,0
154,28,6,0
155,30,10,0
156,29,11,0
157,26,8,0
158,27,8,0
