generation,max_fitness,median_fitness,min_fitness
0,4,1,0
1,6,1,0
2,6,1,0
3,7,1,0
4,9,1,0
5,9,1,0
6,9,1,0
7,9,1,0
8,9,2,0
9,12,2,0
10,12,2,0
11,12,1,0
12,12,1,0
13,12,1,0
14,12,1,0
15,12,2,0
16,12,1,0
17,12,2,0
18,12,1,0
19,12,1,0
20,13,2,0
21,13,2,0
22,13,1,0
23,13,2,0
24,13,2,0
25,13,1,0
26,13,1,0
27,13,1,0
28,13,2,0
29,13,2,0
30,13,2,0
31,13,2,0
32,13,2,0
33,13,1,0
34,13,2,0
35,13,1,0
36,13,2,0
37,13,2,0
38,13,2,0
39,13,2,0
40,13,2,0
41,13,2,0
42,13,2,0
43,13,2,0
44,13,2,0
45,13,2,0
46,13,2,0
47,13,2,0
48,13,2,0
49,13,2,0
50,13,2,0
51,13,2,0
52,13,2,0
53,13,1,0
54,13,2,0
55,13,2,0
56,14,2,0
57,14,2,0
58,14,2,0
59,14,2,0
60,14,2,0
61,14,2,0
62,14,2,0
63,14,2,0
64,14,2,0
65,14,2,0
66,14,2,0
67,14,2,0
68,14,1,0
69,14,2,0
70,14,2,0
71,14,2,0
72,14,2,0
73,14,2,0
74,14,2,0
75,14,2,0
76,14,2,0
77,14,2,0
78,14,2,0
79,14,2,0
80,14,2,0
81,14,2,0
82,14,2,0
83,14,1,0
84,14,1,0
85,14,2,0
86,14,2,0
87,14,2,0
88,14,2,0
89,14,2,0
90,14,2,0
91,14,2,0
92,14,1,0
93,14,2,0
94,14,2,0
95,14,2,0
96,14,2,0
97,14,2,0
98,14,2,0
99,14,2,0
100,14,2,0
101,14,1,0
102,14,1,0
103,14,2,0
104,14,2,0
105,14,2,0
106,14,2,0
107,14,1,0
108,14,2,0
109,14,2,0
110,14,2,0
111,14,2,0
112,14,2,0
113,14,2,0
114,14,2,0
115,14,2,0
116,14,2,0
117,14,2,0
118,14,2,0
119,14,2,0
120,14,2,0
121,14,2,0
122,14,2,0
123,14,2,0
124,14,2,0
125,14,2,0
126,14,2,0
127,14,2,0
128,14,2,0
129,14,2,0
130,14,2,0
131,14,2,0
132,14,2,0
133,14,2,0
134,14,1,0
135,14,2,0
136,14,2,0
137,14,2,0
138,14,2,0
139,14,2,0
140,14,2,0
141,14,2,0
142,14,2,0
143,14,2,0
144,14,2,0
145,14,1,0
146,14,2,0
147,14,2,0
148,14,2,0
149,14,2,0
150,14,2,0
151,14,2,0
152,14,2,0
153,14,2,0
154,14,2,0
155,14,2,0
156,15,2,0
157,15,2,0
158,15,2,0
159,15,1,0
160,15,2,0
161,15,1,0
162,15,2,0
163,15,2,0
164,15,2,0
165,15,2,0
166,15,1,0
167,15,2,0
168,15,2,0
169,15,2,0
170,15,2,0
171,15,2,0
172,15,2,0
173,15,2,0
174,15,2,0
175,15,2,0
176,15,2,0
177,15,2,0
178,15,2,0
179,15,2,0
180,15,2,0
181,15,2,0
182,15,2,0
183,15,2,0
184,15,2,0
185,15,2,0
186,15,2,0
187,15,2,0
188,15,2,0
189,15,2,0
190,15,2,0
191,15,2,0
192,15,2,0
193,15,2,0
194,15,2,0
195,15,2,0
196,15,2,0
197,15,2,0
198,15,2,0
199,15,2,0
200,15,2,0
201,15,1,0
202,15,2,0
203,15,2,0
204,15,2,0
205,15,2,0
206,15,1,0
207,15,2,0
208,15,2,0
209,15,2,0
210,15,2,0
211,15,2,0
212,15,2,0
213,15,2,0
214,15,1,0
215,15,2,0
216,15,2,0
217,15,2,0
218,15,2,0
219,15,1,0
220,15,2,0
221,15,2,0
222,15,2,0
223,15,2,0
224,15,2,0
225,15,2,0
226,15,2,0
227,15,2,0
228,15,2,0
229,15,2,0
230,15,2,0
231,15,2,0
232,15,2,0
233,15,2,0
234,15,2,0
235,15,2,0
236,15,2,0
237,15,1,0
238,15,2,0
239,15,1,0
240,15,1,0
241,15,2,0
242,15,2,0
243,15,2,0
244,15,2,0
245,15,1,0
246,15,2,0
247,15,2,0
248,15,2,0
249,15,2,0
250,15,2,0
251,15,2,0
252,15,2,0
253,15,2,0
254,15,2,0
255,15,2,0
256,15,2,0
257,15,2,0
258,15,2,0
259,15,2,0
260,15,2,0
261,15,2,0
262,15,2,0
263,15,2,0
264,15,2,0
265,15,2,0
266,15,2,0
267,15,2,0
268,15,2,0
269,15,1,0
270,15,2,0
271,15,2,0
272,15,2,0
273,15,1,0
274,15,2,0
275,15,2,0
276,15,2,0
277,15,2,0
278,15,2,0
279,15,2,0
280,15,2,0
281,15,2,0
282,15,2,0
283,15,2,0
284,15,2,0
285,15,2,0
286,15,2,0
287,15,1,0
288,15,2,0
289,15,2,0
290,15,2,0
291,15,2,0
292,15,2,0
293,15,2,0
294,15,2,0
295,15,2,0
296,15,2,0
297,15,2,0
298,15,2,0
299,15,2,0
300,15,2,0
301,15,2,0
302,15,2,0
303,15,2,0
304,15,2,0
305,15,2,0
306,15,2,0
307,15,2,0
308,15,2,0
309,15,2,0
310,15,2,0
311,15,2,0
312,15,2,0
313,15,1,0
314,15,2,0
315,15,2,0
316,15,2,0
317,15,2,0
318,15,2,0
319,15,2,0
320,15,2,0
321,15,2,0
322,15,2,0
323,15,2,0
324,15,2,0
325,15,2,0
326,15,2,0
327,15,2,0
328,15,2,0
329,15,2,0
330,15,2,0
331,15,2,0
332,15,2,0
333,15,2,0
334,15,2,0
335,15,2,0
336,15,2,0
337,15,2,0
338,15,2,0
339,15,1,0
340,15,2,0
341,15,2,0
342,15,2,0
343,15,2,0
344,15,2,0
345,15,2,0
346,15,2,0
347,15,2,0
348,15,2,0
349,15,2,0
350,15,2,0
351,15,2,0
352,15,1,0
353,15,2,0
354,15,2,0
355,15,2,0
356,15,2,0
357,15,2,0
358,15,2,0
359,15,2,0
360,15,1,0
361,15,2,0
362,15,2,0
363,15,2,0
364,15,2,0
365,15,2,0
366,15,2,0
367,15,2,0
368,15,2,0
369,15,1,0
370,15,2,0
371,15,2,0
372,15,2,0
373,15,2,0
374,15,1,0
375,15,2,0
376,15,2,0
377,15,2,0
378,15,2,0
379,15,2,0
380,15,2,0
381,15,1,0
382,15,1,0
383,15,2,0
384,15,2,0
385,15,2,0
386,15,2,0
387,15,2,0
388,15,2,0
389,15,1,0
390,15,2,0
391,15,1,0
392,15,2,0
393,15,2,0
394,15,2,0
395,15,2,0
396,15,2,0
397,15,2,0
398,15,2,0
399,15,2,0
400,15,2,0
401,15,2,0
402,15,2,0
403,15,2,0
404,15,2,0
405,15,2,0
406,15,2,0
407,15,2,0
408,15,2,0
409,15,2,0
410,15,2,0
411,15,2,0
412,15,2,0
413,15,2,0
414,15,2,0
415,15,2,0
416,15,1,0
417,15,1,0
418,15,2,0
419,15,2,0
420,15,2,0
421,15,2,0
422,15,2,0
423,16,2,0
424,16,2,0
425,16,2,0
426,16,1,0
427,16,2,0
428,16,2,0
429,16,2,0
430,16,1,0
431,16,2,0
432,16,2,0
433,16,2,0
434,16,2,0
435,16,2,0
436,16,2,0
437,16,2,0
438,16,2,0
439,16,2,0
440,16,2,0
441,16,2,0
442,16,1,0
443,16,2,0
444,16,2,0
445,16,2,0
446,16,2,0
447,16,2,0
448,16,2,0
449,16,2,0
450,16,2,0
451,16,2,0
452,16,2,0
453,16,2,0
454,16,2,0
455,16,2,0
456,16,2,0
457,16,2,0
458,16,2,0
459,16,2,0
460,16,2,0
461,16,1,0
462,16,2,0
463,16,1,0
464,16,2,0
465,16,1,0
466,16,2,0
467,16,2,0
468,16,2,0
469,16,2,0
470,16,2,0
471,16,2,0
472,16,2,0
473,16,1,0
474,16,1,0
475,16,2,0
476,16,2,0
477,16,2,0
478,16,2,0
479,16,2,0
480,16,2,0
481,16,2,0
482,16,1,0
483,16,2,0
484,16,2,0
485,16,2,0
486,16,2,0
487,16,2,0
488,16,2,0
489,16,2,0
490,16,2,0
491,16,2,0
492,16,2,0
493,16,2,0
494,16,2,0
495,16,2,0
496,16,1,0
497,16,1,0
498,16,2,0
499,16,2,0
500,16,2,0
501,16,2,0
502,16,2,0
503,16,2,0
504,16,2,0
505,16,2,0
506,16,2,0
507,16,1,0
508,16,2,0
509,16,2,0
510,16,2,0
511,16,2,0
512,16,1,0
513,16,2,0
514,16,2,0
515,16,2,0
516,16,2,0
517,16,2,0
518,16,2,0
519,16,2,0
520,16,2,0
521,16,2,0
522,16,2,0
523,16,2,0
524,16,2,0
525,16,2,0
526,16,2,0
527,16,1,0
528,16,2,0
529,16,2,0
530,16,2,0
531,16,2,0
532,16,2,0
533,16,2,0
534,16,2,0
535,16,2,0
536,16,1,0
537,16,2,0
538,16,2,0
539,16,2,0
540,16,2,0
541,16,2,0
542,16,2,0
543,16,2,0
544,16,2,0
545,16,2,0
546,16,2,0
547,16,2,0
548,16,2,0
549,16,2,0
550,16,1,0
551,16,2,0
552,16,2,0
553,16,2,0
554,16,2,0
555,16,2,0
556,16,2,0
557,16,2,0
558,16,2,0
559,16,2,0
560,16,2,0
561,16,2,0
562,16,2,0
563,16,2,0
564,16,2,0
565,16,2,0
566,16,2,0
567,16,2,0
568,16,2,0
569,16,2,0
570,16,2,0
571,16,1,0
572,16,2,0
573,16,2,0
574,16,2,0
575,16,2,0
576,16,2,0
577,16,2,0
578,16,2,0
579,16,2,0
580,16,2,0
581,16,2,0
582,16,2,0
583,16,2,0
584,16,1,0
585,16,2,0
586,16,2,0
587,16,2,0
588,16,2,0
589,16,2,0
590,16,2,0
591,16,2,0
592,16,1,0
593,16,2,0
594,16,2,0
595,16,2,0
596,16,2,0
597,16,2,0
598,16,2,0
599,16,2,0
600,16,2,0
601,16,2,0
602,16,1,0
603,16,2,0
604,16,2,0
605,16,2,0
606,16,1,0
607,16,2,0
608,16,2,0
609,16,2,0
610,16,2,0
611,16,2,0
612,16,2,0
613,16,2,0
614,16,2,0
615,16,2,0
616,16,2,0
617,16,2,0
618,16,2,0
619,16,2,0
620,16,2,0
621,16,2,0
622,16,2,0
623,16,2,0
624,16,2,0
625,16,2,0
626,16,2,0
627,16,2,0
628,16,2,0
629,16,2,0
630,16,2,0
631,16,2,0
632,16,2,0
633,16,2,0
634,16,2,0
635,16,2,0
636,16,2,0
637,16,2,0
638,16,2,0
639,16,2,0
640,16,2,0
641,16,2,0
642,16,2,0
643,16,2,0
644,16,2,0
645,16,2,0
646,16,2,0
647,16,2,0
648,16,2,0
649,16,2,0
650,16,2,0
651,16,2,0
652,16,2,0
653,16,2,0
654,16,1,0
655,16,2,0
656,16,2,0
657,16,1,0
658,16,2,0
659,16,2,0
660,16,2,0
661,16,2,0
662,16,2,0
663,16,2,0
664,16,2,0
665,16,2,0
666,16,2,0
667,16,2,0
668,16,2,0
669,16,2,0
670,16,2,0
671,16,1,0
672,16,2,0
673,16,2,0
674,16,2,0
675,16,2,0
676,16,2,0
677,16,2,0
678,16,2,0
679,16,2,0
680,16,2,0
681,16,2,0
682,16,2,0
683,16,1,0
684,16,2,0
685,16,2,0
686,16,2,0
687,16,2,0
688,16,2,0
689,16,2,0
690,16,2,0
691,16,2,0
692,16,2,0
693,16,2,0
694,16,1,0
695,16,2,0
696,16,2,0
697,16,2,0
698,16,2,0
699,16,1,0
700,16,2,0
701,16,2,0
702,16,2,0
703,16,2,0
704,16,2,0
705,16,2,0
706,16,2,0
707,16,2,0
708,16,2,0
709,16,2,0
710,16,2,0
711,16,2,0
712,16,2,0
713,16,2,0
714,17,2,0
715,17,2,0
716,17,2,0
717,17,2,0
718,17,2,0
719,17,1,0
720,17,2,0
721,17,2,0
722,17,2,0
723,17,2,0
724,17,2,0
725,17,2,0
726,17,2,0
727,17,2,0
728,17,2,0
729,17,2,0
730,17,2,0
731,17,2,0
732,17,2,0
733,17,2,0
734,17,2,0
735,17,2,0
736,17,2,0
737,17,2,0
738,17,2,0
739,17,2,0
740,17,2,0
741,17,2,0
742,17,2,0
743,17,2,0
744,17,2,0
745,17,2,0
746,17,2,0
747,17,2,0
748,17,2,0
749,17,2,0
750,17,2,0
751,17,2,0
752,17,2,0
753,17,2,0
754,17,2,0
755,17,2,0
756,17,2,0
757,17,1,0
758,17,2,0
759,17,2,0
760,17,2,0
761,17,2,0
