generation,max_fitness,median_fitness,min_fitness
0,4,4,4
1,8,2,0
2,8,2,0
3,8,3,0
4,8,2,0
5,8,2,0
6,8,3,0
7,8,2,0
8,10,2,0
9,10,3,0
10,11,3,0
11,11,3,0
12,11,2,0
13,15,3,0
14,15,3,1
15,15,2,0
16,15,3,1
17,15,2,1
18,15,3,0
19,15,3,1
20,15,2,1
21,15,2,0
22,15,2,0
23,15,2,1
24,15,2,0
25,15,2,1
26,15,3,1
27,15,3,0
28,15,3,0
29,15,2,0
30,15,2,1
31,15,2,0
32,15,2,1
33,15,3,1
34,15,3,0
35,15,2,0
36,15,2,0
37,15,2,0
38,15,3,0
39,15,2,0
40,15,2,0
41,15,2,1
42,15,2,0
43,15,3,0
44,15,2,1
45,15,2,0
46,15,2,0
47,15,3,1
48,15,2,1
49,15,3,0
50,15,2,0
51,15,2,0
52,15,2,0
53,15,2,0
54,15,2,0
55,15,2,0
56,15,3,0
57,15,3,0
58,15,3,1
59,15,2,0
60,15,2,0
61,15,3,0
62,15,2,1
63,15,3,1
64,15,2,1
65,15,2,0
66,15,3,0
67,15,3,0
68,15,2,0
69,15,3,0
70,15,2,0
71,15,2,0
72,15,3,0
73,15,2,1
74,15,2,0
75,15,3,1
76,15,2,0
77,15,3,0
78,15,2,0
79,15,2,0
80,15,2,0
81,15,2,0
82,15,3,0
83,15,3,0
84,15,2,1
85,15,2,0
86,15,3,0
87,15,2,0
88,15,2,0
89,15,2,0
90,15,2,0
91,15,3,0
92,15,3,1
93,15,2,0
94,15,2,0
95,15,3,0
96,15,3,0
97,15,3,0
98,15,2,1
99,15,2,0
100,15,3,0
101,15,3,0
102,15,2,0
103,15,2,0
104,15,2,0
105,15,2,0
106,15,3,0
107,15,3,0
108,15,2,1
109,15,3,0
110,15,3,0
111,15,2,0
112,15,3,1
113,15,2,0
114,15,2,1
115,15,2,0
116,15,2,0
117,15,2,0
118,15,3,0
119,15,2,0
120,15,3,0
121,15,3,1
122,15,2,0
123,15,2,0
124,15,2,0
125,15,3,1
126,15,2,0
127,15,2,0
128,15,2,0
129,15,2,0
130,15,2,0
131,15,2,0
132,15,3,0
133,15,2,0
134,15,3,1
135,15,2,0
136,15,3,0
137,15,2,0
138,15,2,0
139,15,2,0
140,15,2,0
141,15,3,0
142,15,2,0
143,15,3,1
144,15,2,0
145,15,3,1
146,15,2,0
147,15,3,0
148,15,3,0
149,15,2,0
150,15,2,1
151,15,2,0
152,15,2,1
153,15,2,1
154,15,3,1
155,15,2,0
156,15,2,0
157,15,3,0
158,15,2,0
159,15,2,0
160,15,3,0
161,15,3,0
162,15,3,1
163,15,2,1
164,15,3,0
165,15,2,1
166,15,2,1
167,15,2,0
168,15,3,0
169,15,3,0
170,15,2,0
171,15,3,0
172,15,3,0
173,15,2,1
174,15,2,0
175,15,3,0
176,15,2,0
177,15,2,0
178,15,3,1
179,15,2,0
180,15,3,0
181,15,3,0
182,15,2,0
183,15,2,0
184,15,2,1
185,15,2,0
186,15,2,0
187,15,2,0
188,15,2,0
189,15,2,0
190,15,2,0
191,15,2,1
192,15,2,1
193,15,2,0
194,15,3,1
195,15,2,0
196,15,3,0
197,15,2,0
198,15,3,1
199,15,2,1
200,15,2,1
201,15,3,0
202,15,2,0
203,15,3,0
204,15,3,0
205,15,3,1
206,15,3,0
207,15,2,0
208,15,2,0
209,15,2,0
210,15,3,0
211,15,2,0
212,15,3,0
213,15,3,0
214,15,2,0
215,15,3,1
216,15,3,1
217,15,2,0
218,15,3,0
219,15,2,0
220,15,2,0
221,15,3,1
222,15,2,0
223,15,3,0
224,15,2,1
225,15,3,0
226,15,2,0
227,15,2,0
228,15,2,0
229,15,2,0
230,15,2,0
231,15,3,0
232,15,2,1
233,15,2,0
234,15,2,1
235,15,3,0
236,15,3,0
237,15,2,1
238,15,2,0
239,15,3,0
240,15,2,1
241,15,3,0
242,15,2,0
243,15,2,1
244,15,3,1
245,15,3,1
246,15,2,0
247,15,3,1
248,15,3,0
249,15,2,0
250,15,2,1
251,15,2,0
252,15,2,1
253,15,2,0
254,15,2,0
255,15,3,0
256,15,2,0
257,15,2,0
258,15,3,0
259,15,2,1
260,15,3,1
261,15,2,0
262,15,3,0
263,15,2,0
264,15,3,0
265,15,3,1
266,15,3,0
267,15,3,1
268,15,2,0
269,15,2,0
270,15,2,0
271,15,2,0
272,15,2,0
273,15,2,0
274,15,3,1
275,15,3,0
276,15,2,0
277,15,2,0
278,15,2,0
279,15,3,0
280,15,2,0
281,15,2,0
282,15,2,0
283,15,3,0
284,15,3,0
285,15,3,1
286,15,2,0
287,15,3,0
288,15,2,0
289,15,3,0
290,15,3,0
291,15,3,0
292,15,3,0
293,15,2,1
294,15,2,0
295,15,2,0
296,15,3,0
297,15,3,0
298,15,3,0
299,15,2,0
300,15,2,0
301,15,3,0
302,15,3,0
303,15,2,1
304,15,2,0
305,15,2,1
306,15,2,0
307,15,3,0
308,15,2,0
309,15,2,1
310,15,2,0
311,15,2,0
312,15,2,0
313,15,3,0
314,15,2,0
315,15,3,0
316,15,2,0
317,15,2,0
318,15,2,0
319,15,2,0
320,15,3,1
321,15,3,0
322,15,3,1
323,15,2,1
324,15,2,0
325,15,2,0
326,15,2,0
327,15,2,1
328,15,2,1
329,15,2,1
330,15,2,0
331,15,3,0
332,15,2,0
333,15,2,0
334,15,3,0
335,15,2,0
336,15,2,0
337,15,2,0
338,15,2,1
339,15,2,1
340,15,2,1
341,15,2,1
342,15,2,0
343,15,2,1
344,15,3,0
345,15,3,0
346,15,2,0
347,15,2,0
348,15,3,1
349,15,2,1
350,15,2,0
351,15,2,1
352,15,3,1
353,15,3,0
354,15,2,0
355,15,2,0
356,15,2,0
357,15,2,0
358,15,2,0
359,15,3,0
360,15,2,0
361,15,2,1
362,15,2,1
363,15,3,0
364,15,3,0
365,15,2,0
366,15,3,0
367,15,2,0
368,15,3,0
369,15,2,0
370,15,2,0
371,15,3,0
372,15,2,0
373,15,3,0
374,15,3,0
375,15,2,1
376,15,2,0
377,15,2,1
378,15,3,0
379,15,3,0
380,15,2,0
381,15,2,0
382,15,2,0
383,15,2,1
384,15,2,0
385,15,3,0
386,15,3,0
387,15,3,0
388,15,2,1
389,15,3,1
390,15,2,1
391,15,2,0
392,15,2,0
393,15,2,1
394,15,3,0
395,15,2,0
396,15,2,0
397,15,2,1
398,15,3,0
399,15,3,1
400,15,3,0
401,15,3,1
402,15,2,1
403,15,2,0
404,15,3,0
405,15,2,1
406,15,2,0
407,15,2,0
408,15,2,0
409,15,2,0
410,15,2,0
411,15,3,1
412,15,2,1
413,15,2,0
414,15,3,0
415,15,2,0
416,15,2,1
417,15,2,0
418,15,2,0
419,15,3,0
420,15,2,0
421,15,2,1
422,15,3,0
423,15,2,0
424,15,2,0
425,15,3,0
426,15,3,1
427,15,3,1
428,15,3,0
429,15,2,1
430,15,3,0
431,15,2,1
432,15,2,0
433,15,3,1
434,15,2,0
435,15,3,0
436,15,2,0
437,15,3,1
438,15,2,0
439,15,2,0
440,15,2,0
441,15,3,1
442,15,3,0
443,15,3,0
444,15,3,0
445,15,2,0
446,15,3,1
447,15,2,0
448,15,3,0
449,15,3,0
450,15,3,1
451,15,2,1
452,15,2,0
453,15,2,1
454,15,2,0
455,15,3,0
456,15,3,0
457,15,2,0
458,15,2,0
459,15,3,1
460,15,2,0
461,15,2,0
462,15,3,0
463,15,2,0
464,15,2,1
465,15,2,0
466,15,3,0
467,15,2,0
468,15,3,0
469,15,3,0
470,15,3,0
471,15,2,1
472,15,3,0
473,15,2,1
474,15,3,0
475,15,3,0
476,15,2,0
477,15,3,1
478,15,2,0
479,15,2,0
480,15,2,0
481,15,3,0
482,15,2,0
483,15,2,0
484,15,2,0
485,15,3,0
486,15,3,1
487,15,2,1
488,15,2,0
489,15,3,0
490,15,3,1
491,15,2,0
492,15,2,0
493,15,3,0
494,15,2,0
495,15,3,0
496,15,3,0
497,15,3,0
498,15,3,0
499,15,2,1
500,15,3,0
501,15,2,0
502,15,2,0
503,15,3,0
504,15,3,0
505,15,2,0
506,15,3,0
507,15,2,0
508,15,3,0
509,15,3,1
510,15,3,1
511,15,3,0
512,15,3,0
513,15,3,1
514,15,3,1
515,15,2,0
516,15,3,0
517,15,3,0
518,15,2,0
519,15,2,0
520,15,2,0
521,15,2,1
522,15,2,0
523,15,2,0
524,15,2,0
525,15,3,0
526,15,2,0
527,15,2,0
528,15,2,0
529,15,3,0
530,15,2,0
531,15,2,0
532,15,2,0
533,15,2,0
534,15,3,0
535,15,3,0
536,15,2,0
537,15,3,0
538,15,2,0
539,15,2,0
540,15,2,0
541,15,2,0
542,15,2,0
543,15,3,0
544,15,2,0
545,15,2,0
546,15,3,0
547,15,3,1
548,15,2,0
549,15,2,0
550,15,2,0
551,15,2,0
552,15,2,0
553,15,2,0
554,15,3,0
555,15,2,1
556,15,3,0
557,15,2,0
558,15,2,0
559,15,3,0
560,15,2,0
561,15,3,0
562,15,3,0
563,15,3,0
564,15,3,0
565,15,2,0
566,15,2,0
567,15,2,0
568,15,2,0
569,15,2,0
570,15,2,0
571,15,2,0
572,15,2,0
573,15,2,1
574,15,2,0
575,15,2,0
576,15,3,0
577,15,3,1
578,15,3,0
579,15,2,0
580,15,3,0
581,15,2,0
582,15,2,0
583,15,2,0
584,15,2,0
585,15,3,0
586,15,2,0
587,15,2,0
588,15,2,0
589,15,3,0
590,15,3,0
591,15,3,0
592,15,2,0
593,15,3,0
594,15,2,1
595,15,2,0
596,15,3,0
597,15,3,0
598,15,3,1
599,15,2,0
600,15,2,0
601,15,3,0
602,15,2,0
603,15,2,0
604,15,2,0
605,15,2,0
606,15,3,1
607,15,2,0
608,15,3,0
609,15,3,0
610,15,2,0
611,15,3,0
612,15,2,0
613,15,3,0
614,15,2,1
615,15,3,0
616,15,2,0
617,15,2,1
618,15,2,1
619,15,3,1
620,15,2,0
621,15,2,0
622,15,3,1
623,15,2,1
624,15,3,0
625,15,3,1
626,15,2,0
627,15,2,0
628,15,2,0
629,15,2,1
630,15,2,0
631,15,2,0
632,15,3,0
633,15,2,1
634,15,2,0
635,15,2,0
636,15,2,0
637,15,3,0
638,15,2,0
639,15,2,0
640,15,2,0
641,15,3,1
642,15,3,0
643,15,3,0
644,15,3,0
645,15,2,0
646,15,2,0
647,15,3,0
648,15,3,1
649,15,2,0
650,15,2,0
651,15,3,0
652,15,3,0
653,15,2,0
654,15,2,0
655,15,3,0
656,15,2,0
657,15,2,0
658,15,2,1
659,15,2,0
660,15,2,0
661,15,3,0
662,15,2,0
663,15,2,0
664,15,2,0
665,15,2,0
666,15,2,0
667,15,2,0
668,15,2,0
669,15,2,0
670,15,2,1
671,15,3,1
672,15,2,0
673,15,3,0
674,15,2,0
675,15,2,0
676,15,2,0
677,15,2,0
678,15,3,1
679,15,2,0
680,15,3,0
681,15,3,0
682,15,2,0
683,15,3,1
684,15,2,0
685,15,2,0
686,15,2,1
687,15,2,0
688,15,2,0
689,15,2,0
690,15,3,0
691,15,2,0
692,15,2,0
693,15,3,0
694,15,2,0
695,15,2,1
696,15,3,0
697,15,3,0
698,15,2,0
699,15,3,0
700,15,2,1
701,15,2,0
702,15,3,1
703,15,2,1
704,15,2,0
705,15,3,1
706,15,2,1
707,15,3,0
708,15,3,0
709,15,3,1
710,15,2,0
711,15,2,0
712,15,3,0
713,15,3,0
714,15,2,1
715,15,2,0
716,15,3,0
717,15,3,0
718,15,3,0
719,15,2,0
720,15,3,0
721,15,2,0
722,15,2,0
723,15,3,0
724,15,2,0
725,15,2,0
726,15,2,1
727,15,3,0
728,15,2,1
729,15,3,0
730,15,3,0
731,15,2,0
732,15,3,0
733,15,2,0
734,15,2,0
735,15,3,0
736,15,3,1
737,15,2,0
738,15,3,1
739,15,3,0
740,15,2,0
741,15,3,0
742,15,2,0
743,15,2,1
744,15,2,0
745,15,2,0
746,15,2,0
747,15,3,0
748,15,2,0
749,15,2,0
750,15,3,1
751,15,2,1
752,15,3,0
753,15,2,0
754,15,3,0
755,15,2,0
756,15,2,0
757,15,2,1
758,15,3,1
759,15,3,1
760,15,2,0
761,15,2,0
762,15,3,0
763,15,2,0
764,15,3,0
765,15,3,1
766,15,2,1
767,15,2,0
768,15,3,0
769,15,2,0
770,15,2,0
771,15,3,1
772,15,2,0
773,15,2,0
774,15,2,0
775,15,2,0
776,15,2,1
777,15,3,0
778,15,3,0
779,15,2,0
780,15,3,0
781,15,2,0
782,15,2,0
783,15,2,0
784,15,2,0
785,15,2,0
786,15,3,0
787,15,2,0
788,15,3,0
789,15,3,0
790,15,2,0
791,15,3,0
792,15,2,1
793,15,2,0
794,15,2,0
795,15,2,0
796,15,2,0
797,15,2,0
798,15,2,1
799,15,3,0
800,15,2,0
801,15,2,0
802,15,2,0
803,15,2,0
804,15,2,0
805,15,3,0
806,15,2,0
807,15,2,0
808,15,3,0
809,15,2,0
810,15,3,0
811,15,2,0
812,15,2,0
813,15,3,1
814,15,2,0
815,15,3,0
816,15,3,1
817,15,3,1
818,15,2,0
819,15,3,1
820,15,2,0
821,15,2,0
822,15,3,0
823,15,2,0
824,15,3,1
825,15,3,0
826,15,3,0
827,15,2,0
828,15,3,0
829,15,2,0
830,15,3,0
831,15,3,0
832,15,3,0
833,15,3,0
834,15,3,0
835,15,2,0
836,15,2,1
837,15,3,1
838,15,3,1
839,15,2,0
840,15,3,1
841,15,2,0
842,15,3,1
843,15,2,1
844,15,3,0
845,15,3,0
846,15,2,0
847,15,3,0
848,15,3,0
849,15,3,1
850,15,2,0
851,15,3,0
852,15,3,0
853,15,2,1
854,15,3,0
855,15,2,1
856,15,3,0
857,15,3,0
858,15,2,0
859,15,2,0
860,15,2,1
861,15,2,0
862,15,3,0
863,15,3,0
864,15,2,1
865,15,2,0
866,15,3,0
