generation,max_fitness,median_fitness,min_fitness
0,2,0,0
1,6,1,0
2,8,1,0
3,8,1,0
4,8,1,0
5,10,1,0
6,10,1,0
7,10,1,0
8,10,1,0
9,10,1,0
10,10,1,0
11,10,1,0
12,10,1,0
13,10,1,0
14,10,1,0
15,10,1,0
16,10,1,0
17,10,1,0
18,10,1,0
19,10,1,0
20,10,1,0
21,10,1,0
22,10,1,0
23,10,1,0
24,10,1,0
25,11,1,0
26,11,1,0
27,11,1,0
28,11,1,0
29,11,1,0
30,11,1,0
31,11,1,0
32,11,1,0
33,11,1,0
34,11,1,0
35,11,1,0
36,11,1,0
37,11,1,0
38,11,1,0
39,11,1,0
40,11,1,0
41,11,1,0
42,11,1,0
43,11,1,0
44,11,1,0
45,11,1,0
46,11,1,0
47,11,1,0
48,11,1,0
49,11,1,0
50,11,1,0
51,11,1,0
52,11,1,0
53,11,1,0
54,11,1,0
55,11,1,0
56,11,1,0
57,11,1,0
58,11,1,0
59,11,1,0
60,11,1,0
61,11,1,0
62,11,1,0
63,11,1,0
64,11,1,0
65,11,1,0
66,11,1,0
67,11,1,0
68,11,1,0
69,11,1,0
70,11,1,0
71,11,1,0
72,11,1,0
73,11,1,0
74,11,1,0
75,11,1,0
76,11,1,0
77,11,1,0
78,11,1,0
79,11,1,0
80,11,1,0
81,11,1,0
82,11,1,0
83,11,1,0
84,11,1,0
85,11,1,0
86,11,1,0
87,11,1,0
88,11,1,0
89,11,1,0
90,11,1,0
91,11,1,0
92,11,1,0
93,11,1,0
94,11,1,0
95,11,1,0
96,11,1,0
97,11,1,0
98,11,1,0
99,11,1,0
100,11,1,0
101,11,1,0
102,11,1,0
103,11,1,0
104,11,1,0
105,11,1,0
106,11,1,0
107,11,1,0
108,11,1,0
109,11,1,0
110,11,1,0
111,11,1,0
112,11,1,0
113,11,1,0
114,11,1,0
115,11,1,0
116,11,1,0
117,11,1,0
118,11,1,0
119,11,1,0
120,11,1,0
121,11,1,0
122,11,1,0
123,11,1,0
124,11,1,0
125,11,1,0
126,11,1,0
127,11,1,0
128,11,1,0
129,11,1,0
130,11,1,0
131,11,1,0
132,11,1,0
133,11,1,0
134,11,1,0
135,11,1,0
136,11,1,0
137,11,1,0
138,11,1,0
139,11,1,0
140,11,1,0
141,11,1,0
142,11,1,0
143,11,1,0
144,11,1,0
145,11,1,0
146,11,1,0
147,11,1,0
148,11,1,0
149,11,1,0
150,11,1,0
151,11,1,0
152,11,1,0
153,11,1,0
154,11,1,0
155,11,1,0
156,11,1,0
157,11,1,0
158,11,1,0
159,11,1,0
160,11,1,0
161,11,1,0
162,11,1,0
163,11,1,0
164,11,1,0
165,11,1,0
166,11,1,0
167,11,1,0
168,11,1,0
169,11,1,0
170,11,1,0
171,11,1,0
172,11,1,0
173,11,1,0
174,11,1,0
175,11,1,0
176,11,1,0
177,11,1,0
178,11,1,0
179,11,1,0
180,11,1,0
181,11,1,0
182,11,1,0
183,11,1,0
184,11,1,0
185,11,1,0
186,11,1,0
187,11,1,0
188,11,1,0
189,11,1,0
190,11,1,0
191,11,1,0
192,11,1,0
193,11,1,0
194,11,1,0
195,11,1,0
196,11,1,0
197,11,1,0
198,11,1,0
199,11,1,0
200,11,1,0
201,11,1,0
202,11,1,0
203,11,1,0
204,11,1,0
205,11,1,0
206,11,1,0
207,11,1,0
208,11,1,0
