generation,max_fitness,median_fitness,min_fitness
0,6,1,0
1,7,1,0
2,8,1,0
3,8,1,0
4,9,1,0
5,9,1,0
6,9,1,0
7,9,1,0
8,9,1,0
9,10,1,0
10,10,1,0
11,10,1,0
12,10,1,0
13,10,1,0
14,11,1,0
15,12,1,0
16,12,1,0
17,12,1,0
18,15,1,0
19,15,1,0
20,15,1,0
21,15,1,0
22,17,1,0
23,17,1,0
24,17,1,0
25,17,1,0
26,17,1,0
27,17,1,0
28,17,1,0
29,17,1,0
30,17,1,0
31,17,1,0
32,17,1,0
33,17,1,0
34,17,1,0
35,17,1,0
36,17,1,0
37,17,1,0
38,17,1,0
39,17,1,0
40,17,1,0
41,17,1,0
42,17,1,0
43,17,1,0
44,17,1,0
45,17,1,0
46,17,1,0
47,17,1,0
48,17,1,0
49,17,1,0
50,17,1,0
51,17,1,0
52,17,1,0
53,17,1,0
54,17,1,0
55,17,1,0
56,17,1,0
57,17,1,0
58,17,1,0
59,17,1,0
60,17,1,0
61,17,1,0
62,17,1,0
63,17,1,0
64,17,1,0
65,17,1,0
66,17,1,0
67,17,1,0
68,17,1,0
69,17,1,0
70,17,1,0
71,17,1,0
72,17,1,0
73,17,1,0
74,17,1,0
75,17,1,0
76,17,1,0
77,17,1,0
78,17,1,0
79,17,1,0
80,17,1,0
81,17,1,0
82,17,1,0
83,17,1,0
84,17,1,0
85,17,1,0
86,17,1,0
87,17,1,0
88,17,1,0
89,17,1,0
90,17,1,0
91,17,1,0
92,17,1,0
93,17,1,0
94,17,1,0
95,17,1,0
96,17,1,0
97,17,1,0
98,17,1,0
99,17,1,0
100,17,1,0
101,17,1,0
102,17,1,0
103,17,1,0
104,18,1,0
105,18,1,0
106,18,1,0
107,18,1,0
108,18,1,0
109,18,1,0
110,18,1,0
111,18,1,0
112,18,1,0
113,18,1,0
114,18,1,0
115,18,1,0
116,18,1,0
117,18,1,0
118,18,1,0
119,18,1,0
120,18,1,0
121,18,1,0
122,18,1,0
123,18,1,0
124,18,1,0
125,18,1,0
126,18,1,0
127,18,1,0
128,18,1,0
129,18,1,0
130,18,1,0
131,18,1,0
132,18,1,0
133,18,1,0
134,18,1,0
135,18,1,0
136,18,1,0
137,18,1,0
138,18,1,0
139,18,1,0
140,18,1,0
141,18,1,0
142,18,1,0
143,18,1,0
144,18,1,0
145,18,1,0
146,18,1,0
147,18,1,0
148,18,1,0
149,18,1,0
150,18,1,0
151,18,1,0
152,18,1,0
153,18,1,0
154,18,1,0
155,18,1,0
156,18,1,0
157,18,1,0
158,18,1,0
159,18,1,0
160,18,1,0
161,18,1,0
162,18,1,0
163,18,1,0
164,18,1,0
165,18,1,0
166,18,1,0
167,18,1,0
168,18,1,0
169,18,1,0
170,18,1,0
171,18,1,0
172,18,1,0
173,18,1,0
174,18,1,0
175,18,1,0
176,18,1,0
177,18,1,0
178,18,1,0
179,18,1,0
180,18,1,0
181,18,1,0
182,18,1,0
183,18,1,0
184,18,1,0
185,18,1,0
186,18,1,0
187,18,1,0
188,18,1,0
189,18,1,0
190,18,1,0
191,18,1,0
192,18,1,0
193,18,1,0
194,18,1,0
195,18,1,0
196,18,1,0
197,18,1,0
198,18,1,0
199,18,1,0
200,18,1,0
201,18,1,0
202,18,1,0
203,18,1,0
204,18,1,0
205,18,1,0
206,18,1,0
207,18,1,0
208,18,1,0
209,18,1,0
210,18,1,0
211,18,1,0
212,18,1,0
213,18,1,0
214,18,1,0
215,18,1,0
216,18,1,0
217,18,1,0
218,18,1,0
219,18,1,0
220,18,1,0
221,18,1,0
222,18,1,0
223,18,1,0
224,18,1,0
225,18,1,0
226,18,1,0
227,18,1,0
228,18,1,0
229,18,1,0
230,18,1,0
231,18,1,0
232,18,1,0
233,18,1,0
234,18,1,0
235,18,1,0
236,18,1,0
237,18,1,0
238,18,1,0
239,18,1,0
240,18,1,0
241,18,1,0
242,18,1,0
243,18,1,0
244,18,1,0
245,18,1,0
246,18,1,0
247,18,1,0
248,18,1,0
249,18,1,0
250,18,1,0
251,18,1,0
252,18,1,0
253,18,1,0
254,18,1,0
255,18,1,0
256,18,1,0
257,18,1,0
258,18,1,0
259,18,1,0
260,18,1,0
261,18,1,0
262,18,1,0
263,18,1,0
264,18,1,0
265,18,1,0
266,18,1,0
267,18,1,0
268,18,1,0
269,18,1,0
270,18,1,0
271,18,1,0
272,18,1,0
273,18,1,0
274,18,1,0
275,18,1,0
276,18,1,0
277,18,1,0
278,18,1,0
279,18,1,0
280,18,1,0
281,18,1,0
282,18,1,0
283,18,1,0
284,18,1,0
285,18,1,0
286,18,1,0
287,18,1,0
288,18,1,0
289,18,1,0
290,18,1,0
291,18,1,0
292,18,1,0
293,18,1,0
294,18,1,0
295,18,1,0
296,18,1,0
297,18,1,0
298,18,1,0
299,18,1,0
300,18,1,0
301,18,1,0
302,18,1,0
303,18,1,0
304,18,1,0
305,18,1,0
306,18,1,0
307,18,1,0
308,18,1,0
309,18,1,0
310,18,1,0
311,18,1,0
312,18,1,0
313,18,1,0
314,18,1,0
315,18,1,0
316,18,1,0
317,18,1,0
318,18,1,0
319,18,1,0
320,18,1,0
321,18,1,0
322,18,1,0
323,18,1,0
324,18,1,0
325,18,1,0
326,18,1,0
327,18,1,0
328,18,1,0
329,18,1,0
330,18,1,0
331,18,1,0
332,18,1,0
333,18,1,0
334,18,1,0
335,18,1,0
336,18,1,0
337,18,1,0
338,18,1,0
339,18,1,0
340,18,1,0
341,18,1,0
342,18,1,0
343,18,1,0
344,18,1,0
345,18,1,0
346,18,1,0
347,18,1,0
348,18,1,0
349,18,1,0
350,18,1,0
351,18,1,0
352,18,1,0
353,18,1,0
354,18,1,0
355,18,1,0
356,18,1,0
357,18,1,0
358,18,1,0
359,18,1,0
360,18,1,0
361,18,1,0
362,18,1,0
363,18,1,0
364,18,1,0
365,18,1,0
366,18,1,0
367,18,1,0
368,18,1,0
369,18,1,0
370,18,1,0
371,18,1,0
372,18,1,0
373,18,1,0
374,18,1,0
375,18,1,0
376,18,1,0
377,18,1,0
378,18,1,0
379,18,1,0
380,18,1,0
381,18,1,0
382,18,1,0
383,18,1,0
384,18,1,0
385,18,1,0
386,18,1,0
387,18,1,0
388,18,1,0
389,18,1,0
390,18,1,0
391,18,1,0
392,18,1,0
393,18,1,0
394,18,1,0
395,18,1,0
396,18,1,0
397,18,1,0
398,18,1,0
399,18,1,0
400,18,1,0
401,18,1,0
402,18,1,0
403,18,1,0
404,18,1,0
405,18,1,0
406,18,1,0
407,18,1,0
408,18,1,0
409,18,1,0
410,18,1,0
411,18,1,0
412,18,1,0
413,18,1,0
414,18,1,0
415,18,1,0
416,18,1,0
417,18,1,0
418,18,1,0
419,18,1,0
420,18,1,0
421,18,1,0
422,18,1,0
423,18,1,0
424,18,1,0
425,18,1,0
426,18,1,0
427,18,1,0
428,18,1,0
429,18,1,0
430,18,1,0
431,18,1,0
432,18,1,0
433,18,1,0
434,18,1,0
435,18,1,0
436,18,1,0
437,18,1,0
438,18,1,0
439,18,1,0
440,18,1,0
441,18,1,0
442,18,1,0
443,18,1,0
444,18,1,0
445,18,1,0
446,18,1,0
447,18,1,0
448,18,1,0
449,18,1,0
450,18,1,0
451,18,1,0
452,18,1,0
453,18,1,0
454,18,1,0
455,18,1,0
456,18,1,0
457,18,1,0
458,18,1,0
459,18,1,0
460,18,1,0
461,18,1,0
462,18,1,0
463,18,1,0
464,18,1,0
465,18,1,0
466,18,1,0
467,18,1,0
468,18,1,0
469,18,1,0
470,18,1,0
471,18,1,0
472,18,1,0
473,18,1,0
474,18,1,0
475,18,1,0
476,18,1,0
477,18,1,0
478,18,1,0
479,18,1,0
480,18,1,0
481,18,1,0
482,18,1,0
483,18,1,0
484,18,1,0
485,18,1,0
486,18,1,0
487,18,1,0
488,18,1,0
489,18,1,0
490,18,1,0
491,18,1,0
492,18,1,0
493,18,1,0
494,18,1,0
495,18,1,0
496,18,1,0
497,18,1,0
498,18,1,0
499,18,1,0
500,18,1,0
501,18,1,0
502,18,1,0
503,18,1,0
504,18,1,0
505,18,1,0
506,18,1,0
507,18,1,0
508,18,1,0
509,18,1,0
510,18,1,0
511,18,1,0
512,18,1,0
513,18,1,0
514,18,1,0
515,18,1,0
516,18,1,0
517,18,1,0
518,18,1,0
519,18,1,0
520,18,1,0
521,18,1,0
522,18,1,0
523,18,1,0
524,18,1,0
525,18,1,0
526,18,1,0
527,18,1,0
528,18,1,0
529,18,1,0
530,18,1,0
531,18,1,0
532,18,1,0
533,18,1,0
534,18,1,0
535,18,1,0
536,18,1,0
537,18,1,0
538,18,1,0
539,18,1,0
540,18,1,0
541,18,1,0
542,18,1,0
543,18,1,0
544,18,1,0
545,18,1,0
546,18,1,0
547,18,1,0
548,18,1,0
549,18,1,0
550,18,1,0
551,18,1,0
552,18,1,0
553,18,1,0
554,18,1,0
555,18,1,0
556,18,1,0
557,18,1,0
558,18,1,0
559,18,1,0
560,18,1,0
561,18,1,0
562,18,1,0
563,18,1,0
564,18,1,0
565,18,1,0
566,18,1,0
567,18,1,0
568,18,1,0
569,18,1,0
570,18,1,0
571,18,1,0
572,18,1,0
573,18,1,0
574,18,1,0
575,18,1,0
576,18,1,0
577,18,1,0
578,18,1,0
579,18,1,0
580,18,1,0
581,18,1,0
582,18,1,0
583,18,1,0
584,18,1,0
585,18,1,0
586,18,1,0
587,18,1,0
588,18,1,0
589,18,1,0
590,18,1,0
591,18,1,0
592,18,1,0
593,18,1,0
594,18,1,0
595,18,1,0
596,18,1,0
597,18,1,0
598,18,1,0
599,18,1,0
600,18,1,0
601,18,1,0
602,18,1,0
603,18,1,0
604,18,1,0
605,18,1,0
606,18,1,0
607,18,1,0
608,18,1,0
609,18,1,0
610,18,1,0
611,18,1,0
612,18,1,0
613,18,1,0
614,18,1,0
615,18,1,0
616,18,1,0
617,18,1,0
618,18,1,0
619,18,1,0
620,18,1,0
621,18,1,0
622,18,1,0
623,18,1,0
624,18,1,0
625,18,1,0
626,18,1,0
627,18,1,0
628,18,1,0
629,18,1,0
630,18,1,0
631,18,1,0
632,18,1,0
633,18,1,0
634,18,1,0
635,18,1,0
636,18,1,0
637,18,1,0
638,18,1,0
639,18,1,0
640,18,1,0
641,18,1,0
642,18,1,0
643,18,1,0
644,18,1,0
645,18,1,0
646,18,1,0
647,18,1,0
648,18,1,0
649,18,1,0
650,18,1,0
651,18,1,0
652,18,1,0
653,18,1,0
654,18,1,0
655,18,1,0
656,18,1,0
657,18,1,0
658,18,1,0
659,18,1,0
660,18,1,0
661,18,1,0
662,18,1,0
663,18,1,0
664,18,1,0
665,18,1,0
666,18,1,0
667,18,1,0
668,18,1,0
669,18,1,0
670,18,1,0
671,18,1,0
672,18,1,0
673,18,1,0
674,18,1,0
675,18,1,0
676,18,1,0
677,18,1,0
678,18,1,0
679,18,1,0
